sample_id,modality,position,start_sec,end_sec,is_valid
-3g5yACwYnA_13,audio,0,0.0,0.5,True
-3g5yACwYnA_13,audio,1,0.5,1.0,True
-3g5yACwYnA_13,audio,2,1.0,1.5,True
-3g5yACwYnA_13,audio,3,1.5,2.0,True
-3g5yACwYnA_13,audio,4,2.0,2.5,True
-3g5yACwYnA_13,audio,5,2.5,3.0,True
-3g5yACwYnA_13,audio,6,3.0,3.5,True
-3g5yACwYnA_13,audio,7,3.5,4.0,True
-3g5yACwYnA_13,audio,8,4.0,4.5,True
-3g5yACwYnA_13,audio,9,4.5,5.0,True
-3g5yACwYnA_13,audio,10,5.0,5.5,True
-3g5yACwYnA_13,audio,11,5.5,6.0,False
-3g5yACwYnA_13,audio,12,6.0,6.5,False
-3g5yACwYnA_13,audio,13,6.5,7.0,False
-3g5yACwYnA_13,audio,14,7.0,7.5,False
-3g5yACwYnA_13,audio,15,7.5,8.0,False
-3g5yACwYnA_13,audio,16,8.0,8.5,False
-3g5yACwYnA_13,audio,17,8.5,9.0,False
-3g5yACwYnA_13,audio,18,9.0,9.5,False
-3g5yACwYnA_13,audio,19,9.5,10.0,False
-3g5yACwYnA_13,audio,20,10.0,10.5,False
-3g5yACwYnA_13,audio,21,10.5,11.0,False
-3g5yACwYnA_13,audio,22,11.0,11.5,False
-3g5yACwYnA_13,audio,23,11.5,12.0,False
-3g5yACwYnA_13,audio,24,12.0,12.5,False
-3g5yACwYnA_13,audio,25,12.5,13.0,False
-3g5yACwYnA_13,audio,26,13.0,13.5,False
-3g5yACwYnA_13,audio,27,13.5,14.0,False
-3g5yACwYnA_13,audio,28,14.0,14.5,False
-3g5yACwYnA_13,audio,29,14.5,15.0,False
-3g5yACwYnA_13,audio,30,15.0,15.5,False
-3g5yACwYnA_13,audio,31,15.5,16.0,False
-3g5yACwYnA_13,audio,32,16.0,16.5,False
-3g5yACwYnA_13,audio,33,16.5,17.0,False
-3g5yACwYnA_13,audio,34,17.0,17.5,False
-3g5yACwYnA_13,audio,35,17.5,18.0,False
-3g5yACwYnA_13,audio,36,18.0,18.5,False
-3g5yACwYnA_13,audio,37,18.5,19.0,False
-3g5yACwYnA_13,audio,38,19.0,19.5,False
-3g5yACwYnA_13,audio,39,19.5,20.0,False
-3g5yACwYnA_13,audio,40,20.0,20.5,False
-3g5yACwYnA_13,audio,41,20.5,21.0,False
-3g5yACwYnA_13,audio,42,21.0,21.5,False
-3g5yACwYnA_13,audio,43,21.5,22.0,False
-3g5yACwYnA_13,audio,44,22.0,22.5,False
-3g5yACwYnA_13,audio,45,22.5,23.0,False
-3g5yACwYnA_13,audio,46,23.0,23.5,False
-3g5yACwYnA_13,audio,47,23.5,24.0,False
-3g5yACwYnA_13,audio,48,24.0,24.5,False
-3g5yACwYnA_13,audio,49,24.5,25.0,False
-3g5yACwYnA_13,vision,0,0.0,0.5,True
-3g5yACwYnA_13,vision,1,0.5,1.0,True
-3g5yACwYnA_13,vision,2,1.0,1.5,True
-3g5yACwYnA_13,vision,3,1.5,2.0,True
-3g5yACwYnA_13,vision,4,2.0,2.5,True
-3g5yACwYnA_13,vision,5,2.5,3.0,True
-3g5yACwYnA_13,vision,6,3.0,3.5,True
-3g5yACwYnA_13,vision,7,3.5,4.0,True
-3g5yACwYnA_13,vision,8,4.0,4.5,True
-3g5yACwYnA_13,vision,9,4.5,5.0,True
-3g5yACwYnA_13,vision,10,5.0,5.5,True
-3g5yACwYnA_13,vision,11,5.5,6.0,False
-3g5yACwYnA_13,vision,12,6.0,6.5,False
-3g5yACwYnA_13,vision,13,6.5,7.0,False
-3g5yACwYnA_13,vision,14,7.0,7.5,False
-3g5yACwYnA_13,vision,15,7.5,8.0,False
-3g5yACwYnA_13,vision,16,8.0,8.5,False
-3g5yACwYnA_13,vision,17,8.5,9.0,False
-3g5yACwYnA_13,vision,18,9.0,9.5,False
-3g5yACwYnA_13,vision,19,9.5,10.0,False
-3g5yACwYnA_13,vision,20,10.0,10.5,False
-3g5yACwYnA_13,vision,21,10.5,11.0,False
-3g5yACwYnA_13,vision,22,11.0,11.5,False
-3g5yACwYnA_13,vision,23,11.5,12.0,False
-3g5yACwYnA_13,vision,24,12.0,12.5,False
-3g5yACwYnA_13,vision,25,12.5,13.0,False
-3g5yACwYnA_13,vision,26,13.0,13.5,False
-3g5yACwYnA_13,vision,27,13.5,14.0,False
-3g5yACwYnA_13,vision,28,14.0,14.5,False
