sample_id,modality,position,token,is_valid
-3g5yACwYnA_13,text,0,[UNKNOWN],True
-3g5yACwYnA_13,text,1,[UNKNOWN],True
-3g5yACwYnA_13,text,2,[UNKNOWN],True
-3g5yACwYnA_13,text,3,[UNKNOWN],True
-3g5yACwYnA_13,text,4,[UNKNOWN],True
-3g5yACwYnA_13,text,5,[UNKNOWN],True
-3g5yACwYnA_13,text,6,[UNKNOWN],True
-3g5yACwYnA_13,text,7,[UNKNOWN],True
-3g5yACwYnA_13,text,8,[UNKNOWN],True
-3g5yACwYnA_13,text,9,[UNKNOWN],True
-3g5yACwYnA_13,text,10,[UNKNOWN],True
-3g5yACwYnA_13,text,11,[UNKNOWN],True
-3g5yACwYnA_13,text,12,[UNKNOWN],True
-3g5yACwYnA_13,text,13,[UNKNOWN],True
-3g5yACwYnA_13,text,14,[UNKNOWN],True
-3g5yACwYnA_13,text,15,[UNKNOWN],True
-3g5yACwYnA_13,text,16,[UNKNOWN],True
-3g5yACwYnA_13,text,17,[UNKNOWN],True
-3g5yACwYnA_13,text,18,[UNKNOWN],True
-3g5yACwYnA_13,text,19,[UNKNOWN],True
-3g5yACwYnA_13,text,20,[UNKNOWN],False
-3g5yACwYnA_13,text,21,[UNKNOWN],False
-3g5yACwYnA_13,text,22,[UNKNOWN],False
-3g5yACwYnA_13,text,23,[UNKNOWN],False
-3g5yACwYnA_13,text,24,[UNKNOWN],False
-3g5yACwYnA_13,text,25,[UNKNOWN],False
-3g5yACwYnA_13,text,26,[UNKNOWN],False
-3g5yACwYnA_13,text,27,[UNKNOWN],False
-3g5yACwYnA_13,text,28,[UNKNOWN],False
-3g5yACwYnA_13,text,29,[UNKNOWN],False
-3g5yACwYnA_13,text,30,[UNKNOWN],False
-3g5yACwYnA_13,text,31,[UNKNOWN],False
-3g5yACwYnA_13,text,32,[UNKNOWN],False
-3g5yACwYnA_13,text,33,[UNKNOWN],False
-3g5yACwYnA_13,text,34,[UNKNOWN],False
-3g5yACwYnA_13,text,35,[UNKNOWN],False
-3g5yACwYnA_13,text,36,[UNKNOWN],False
-3g5yACwYnA_13,text,37,[UNKNOWN],False
-3g5yACwYnA_13,text,38,[UNKNOWN],False
-3g5yACwYnA_13,text,39,[UNKNOWN],False
-3g5yACwYnA_13,text,40,[UNKNOWN],False
-3g5yACwYnA_13,text,41,[UNKNOWN],False
-3g5yACwYnA_13,text,42,[UNKNOWN],False
-3g5yACwYnA_13,text,43,[UNKNOWN],False
-3g5yACwYnA_13,text,44,[UNKNOWN],False
-3g5yACwYnA_13,text,45,[UNKNOWN],False
-3g5yACwYnA_13,text,46,[UNKNOWN],False
-3g5yACwYnA_13,text,47,[UNKNOWN],False
-3g5yACwYnA_13,text,48,[UNKNOWN],False
-3g5yACwYnA_13,text,49,[UNKNOWN],False
-3g5yACwYnA_2,text,0,[UNKNOWN],True
-3g5yACwYnA_2,text,1,[UNKNOWN],True
-3g5yACwYnA_2,text,2,[UNKNOWN],True
-3g5yACwYnA_2,text,3,[UNKNOWN],True
-3g5yACwYnA_2,text,4,[UNKNOWN],True
-3g5yACwYnA_2,text,5,[UNKNOWN],True
-3g5yACwYnA_2,text,6,[UNKNOWN],True
-3g5yACwYnA_2,text,7,[UNKNOWN],True
-3g5yACwYnA_2,text,8,[UNKNOWN],True
-3g5yACwYnA_2,text,9,[UNKNOWN],True
-3g5yACwYnA_2,text,10,[UNKNOWN],True
-3g5yACwYnA_2,text,11,[UNKNOWN],True
-3g5yACwYnA_2,text,12,[UNKNOWN],True
-3g5yACwYnA_2,text,13,[UNKNOWN],True
-3g5yACwYnA_2,text,14,[UNKNOWN],True
-3g5yACwYnA_2,text,15,[UNKNOWN],True
-3g5yACwYnA_2,text,16,[UNKNOWN],True
-3g5yACwYnA_2,text,17,[UNKNOWN],True
-3g5yACwYnA_2,text,18,[UNKNOWN],True
-3g5yACwYnA_2,text,19,[UNKNOWN],False
-3g5yACwYnA_2,text,20,[UNKNOWN],False
-3g5yACwYnA_2,text,21,[UNKNOWN],False
-3g5yACwYnA_2,text,22,[UNKNOWN],False
-3g5yACwYnA_2,text,23,[UNKNOWN],False
-3g5yACwYnA_2,text,24,[UNKNOWN],False
-3g5yACwYnA_2,text,25,[UNKNOWN],False
-3g5yACwYnA_2,text,26,[UNKNOWN],False
-3g5yACwYnA_2,text,27,[UNKNOWN],False
-3g5yACwYnA_2,text,28,[UNKNOWN],False
-3g5yACwYnA_2,text,29,[UNKNOWN],False
-3g5yACwYnA_2,text,30,[UNKNOWN],False
-3g5yACwYnA_2,text,31,[UNKNOWN],False
-3g5yACwYnA_2,text,32,[UNKNOWN],False
-3g5yACwYnA_2,text,33,[UNKNOWN],False
-3g5yACwYnA_2,text,34,[UNKNOWN],False
-3g5yACwYnA_2,text,35,[UNKNOWN],False
-3g5yACwYnA_2,text,36,[UNKNOWN],False
-3g5yACwYnA_2,text,37,[UNKNOWN],False
-3g5yACwYnA_2,text,38,[UNKNOWN],False
-3g5yACwYnA_2,text,39,[UNKNOWN],False
-3g5yACwYnA_2,text,40,[UNKNOWN],False
-3g5yACwYnA_2,text,41,[UNKNOWN],False
-3g5yACwYnA_2,text,42,[UNKNOWN],False
-3g5yACwYnA_2,text,43,[UNKNOWN],False
-3g5yACwYnA_2,text,44,[UNKNOWN],False
-3g5yACwYnA_2,text,45,[UNKNOWN],False
-3g5yACwYnA_2,text,46,[UNKNOWN],False
-3g5yACwYnA_2,text,47,[UNKNOWN],False
-3g5yACwYnA_2,text,48,[UNKNOWN],False
-3g5yACwYnA_2,text,49,[UNKNOWN],False
-3g5yACwYnA_3,text,0,[UNKNOWN],True
-3g5yACwYnA_3,text,1,[UNKNOWN],True
-3g5yACwYnA_3,text,2,[UNKNOWN],True
-3g5yACwYnA_3,text,3,[UNKNOWN],True
-3g5yACwYnA_3,text,4,[UNKNOWN],True
-3g5yACwYnA_3,text,5,[UNKNOWN],True
-3g5yACwYnA_3,text,6,[UNKNOWN],True
-3g5yACwYnA_3,text,7,[UNKNOWN],True
-3g5yACwYnA_3,text,8,[UNKNOWN],True
-3g5yACwYnA_3,text,9,[UNKNOWN],True
-3g5yACwYnA_3,text,10,[UNKNOWN],True
-3g5yACwYnA_3,text,11,[UNKNOWN],True
-3g5yACwYnA_3,text,12,[UNKNOWN],True
-3g5yACwYnA_3,text,13,[UNKNOWN],True
-3g5yACwYnA_3,text,14,[UNKNOWN],True
-3g5yACwYnA_3,text,15,[UNKNOWN],True
-3g5yACwYnA_3,text,16,[UNKNOWN],True
-3g5yACwYnA_3,text,17,[UNKNOWN],True
-3g5yACwYnA_3,text,18,[UNKNOWN],True
-3g5yACwYnA_3,text,19,[UNKNOWN],True
-3g5yACwYnA_3,text,20,[UNKNOWN],True
-3g5yACwYnA_3,text,21,[UNKNOWN],True
-3g5yACwYnA_3,text,22,[UNKNOWN],True
-3g5yACwYnA_3,text,23,[UNKNOWN],True
-3g5yACwYnA_3,text,24,[UNKNOWN],True
-3g5yACwYnA_3,text,25,[UNKNOWN],True
-3g5yACwYnA_3,text,26,[UNKNOWN],True
-3g5yACwYnA_3,text,27,[UNKNOWN],True
-3g5yACwYnA_3,text,28,[UNKNOWN],True
-3g5yACwYnA_3,text,29,[UNKNOWN],True
