position,time_range,text_token,text_status,audio_status,audio_norm,vision_status,vision_norm
0,"[0.0, 0.5)s",[CLS],有效,有效,3848.698974609375,有效,2.7639999389648438
1,"[0.5, 1.0)s",^,有效,有效,3723.444091796875,有效,2.690999984741211
2,"[1.0, 1.5)s",it,有效,有效,3869.865966796875,有效,2.9070000648498535
3,"[1.5, 2.0)s",',有效,有效,3893.25,有效,2.8489999771118164
4,"[2.0, 2.5)s",s,有效,有效,3855.989990234375,有效,3.943000078201294
5,"[2.5, 3.0)s",amazing,有效,有效,3910.535888671875,有效,3.997999906539917
6,"[3.0, 3.5)s",to,有效,有效,3873.9150390625,有效,3.9240000247955322
7,"[3.5, 4.0)s",see,有效,有效,3836.10791015625,有效,3.9619998931884766
8,"[4.0, 4.5)s",their,有效,填充,0.0,填充,0.0
9,"[4.5, 5.0)s",enthusiasm,有效,填充,0.0,填充,0.0
10,"[5.0, 5.5)s",and,有效,填充,0.0,填充,0.0
11,"[5.5, 6.0)s",their,有效,填充,0.0,填充,0.0
12,"[6.0, 6.5)s",passion,有效,填充,0.0,填充,0.0
13,"[6.5, 7.0)s",[SEP],有效,填充,0.0,填充,0.0
14,"[7.0, 7.5)s",[PAD],填充,填充,0.0,填充,0.0
15,"[7.5, 8.0)s",[PAD],填充,填充,0.0,填充,0.0
16,"[8.0, 8.5)s",[PAD],填充,填充,0.0,填充,0.0
17,"[8.5, 9.0)s",[PAD],填充,填充,0.0,填充,0.0
18,"[9.0, 9.5)s",[PAD],填充,填充,0.0,填充,0.0
19,"[9.5, 10.0)s",[PAD],填充,填充,0.0,填充,0.0
