sample_id,original_frames,aligned_segments,valid_segments,duration_sec,feature_file,status
-3g5yACwYnA_13,535,50,11,5.35,outputs/features/audio/-3g5yACwYnA_13.npy,existing
-3g5yACwYnA_2,919,50,19,9.19,outputs/features/audio/-3g5yACwYnA_2.npy,existing
-3g5yACwYnA_3,1428,50,29,14.28,outputs/features/audio/-3g5yACwYnA_3.npy,existing
-3g5yACwYnA_9,865,50,18,8.65,outputs/features/audio/-3g5yACwYnA_9.npy,existing
-3nNcZdcdvU_5,774,50,16,7.74,outputs/features/audio/-3nNcZdcdvU_5.npy,existing
-571d8cVauQ_0,495,50,10,4.95,outputs/features/audio/-571d8cVauQ_0.npy,existing
-571d8cVauQ_5,1507,50,31,15.07,outputs/features/audio/-571d8cVauQ_5.npy,existing
-6rXp3zJ3kc_8,1269,50,26,12.69,outputs/features/audio/-6rXp3zJ3kc_8.npy,existing
-9y-fZ3swSY_0,671,50,14,6.71,outputs/features/audio/-9y-fZ3swSY_0.npy,existing
-9y-fZ3swSY_4,262,50,6,2.62,outputs/features/audio/-9y-fZ3swSY_4.npy,existing
-9y-fZ3swSY_8,487,50,10,4.87,outputs/features/audio/-9y-fZ3swSY_8.npy,existing
-AUZQgSxyPQ_2,2236,50,45,22.36,outputs/features/audio/-AUZQgSxyPQ_2.npy,existing
-HeZS2-Prhc_2,811,50,17,8.11,outputs/features/audio/-HeZS2-Prhc_2.npy,existing
-HwX2H8Z4hY_2,387,50,8,3.87,outputs/features/audio/-HwX2H8Z4hY_2.npy,existing
-HwX2H8Z4hY_5,550,50,11,5.5,outputs/features/audio/-HwX2H8Z4hY_5.npy,existing
-HwX2H8Z4hY_6,321,50,7,3.21,outputs/features/audio/-HwX2H8Z4hY_6.npy,existing
-HwX2H8Z4hY_9,759,50,16,7.59,outputs/features/audio/-HwX2H8Z4hY_9.npy,existing
-I_e4mIh0yE_1,740,50,15,7.4,outputs/features/audio/-I_e4mIh0yE_1.npy,existing
-I_e4mIh0yE_3,895,50,18,8.95,outputs/features/audio/-I_e4mIh0yE_3.npy,existing
-MeTTeMJBNc_0,917,50,19,9.17,outputs/features/audio/-MeTTeMJBNc_0.npy,existing
-MeTTeMJBNc_13,521,50,11,5.21,outputs/features/audio/-MeTTeMJBNc_13.npy,existing
-MeTTeMJBNc_7,1037,50,21,10.37,outputs/features/audio/-MeTTeMJBNc_7.npy,existing
-NFrJFQijFE_1,561,50,12,5.61,outputs/features/audio/-NFrJFQijFE_1.npy,existing
-NFrJFQijFE_2,665,50,14,6.65,outputs/features/audio/-NFrJFQijFE_2.npy,existing
-RfYyzHpjk4_11,503,50,11,5.03,outputs/features/audio/-RfYyzHpjk4_11.npy,existing
-RfYyzHpjk4_2,535,50,11,5.35,outputs/features/audio/-RfYyzHpjk4_2.npy,existing
-RfYyzHpjk4_8,449,50,9,4.49,outputs/features/audio/-RfYyzHpjk4_8.npy,existing
-THoVjtIkeU_12,1476,50,30,14.76,outputs/features/audio/-THoVjtIkeU_12.npy,existing
-THoVjtIkeU_2,419,50,9,4.19,outputs/features/audio/-THoVjtIkeU_2.npy,existing
-THoVjtIkeU_6,794,50,16,7.94,outputs/features/audio/-THoVjtIkeU_6.npy,existing
-UUCSKoHeMA_0,769,50,16,7.69,outputs/features/audio/-UUCSKoHeMA_0.npy,existing
-UacrmKiTn4_10,720,50,15,7.2,outputs/features/audio/-UacrmKiTn4_10.npy,existing
-UacrmKiTn4_4,464,50,10,4.64,outputs/features/audio/-UacrmKiTn4_4.npy,existing
-UuX1xuaiiE_0,353,50,8,3.53,outputs/features/audio/-UuX1xuaiiE_0.npy,existing
-UuX1xuaiiE_1,1022,50,21,10.22,outputs/features/audio/-UuX1xuaiiE_1.npy,existing
-UuX1xuaiiE_3,399,50,8,3.99,outputs/features/audio/-UuX1xuaiiE_3.npy,existing
-UuX1xuaiiE_6,790,50,16,7.9,outputs/features/audio/-UuX1xuaiiE_6.npy,existing
-a55Q6RWvTA_3,2204,50,45,22.04,outputs/features/audio/-a55Q6RWvTA_3.npy,existing
-aNfi7CP8vM_7,849,50,17,8.49,outputs/features/audio/-aNfi7CP8vM_7.npy,existing
-aqamKhZ1Ec_0,1085,50,22,10.85,outputs/features/audio/-aqamKhZ1Ec_0.npy,existing
-dxfTGcXJoc_0,2037,50,41,20.37,outputs/features/audio/-dxfTGcXJoc_0.npy,existing
-dxfTGcXJoc_1,1597,50,32,15.97,outputs/features/audio/-dxfTGcXJoc_1.npy,existing
-dxfTGcXJoc_2,1659,50,34,16.59,outputs/features/audio/-dxfTGcXJoc_2.npy,existing
-dxfTGcXJoc_6,1258,50,26,12.58,outputs/features/audio/-dxfTGcXJoc_6.npy,existing
-egA8-b7-3M_1,1011,50,21,10.11,outputs/features/audio/-egA8-b7-3M_1.npy,existing
-egA8-b7-3M_13,398,50,8,3.98,outputs/features/audio/-egA8-b7-3M_13.npy,existing
-egA8-b7-3M_16,544,50,11,5.44,outputs/features/audio/-egA8-b7-3M_16.npy,existing
-egA8-b7-3M_17,705,50,15,7.05,outputs/features/audio/-egA8-b7-3M_17.npy,existing
-egA8-b7-3M_18,822,50,17,8.22,outputs/features/audio/-egA8-b7-3M_18.npy,existing
-egA8-b7-3M_20,643,50,13,6.43,outputs/features/audio/-egA8-b7-3M_20.npy,existing
-egA8-b7-3M_26,588,50,12,5.88,outputs/features/audio/-egA8-b7-3M_26.npy,existing
-egA8-b7-3M_6,614,50,13,6.14,outputs/features/audio/-egA8-b7-3M_6.npy,existing
-egA8-b7-3M_9,489,50,10,4.89,outputs/features/audio/-egA8-b7-3M_9.npy,existing
-hnBHBN8p5A_6,629,50,13,6.29,outputs/features/audio/-hnBHBN8p5A_6.npy,existing
-hnBHBN8p5A_7,726,50,15,7.26,outputs/features/audio/-hnBHBN8p5A_7.npy,existing
-iRBcNs9oI8_3,549,50,11,5.49,outputs/features/audio/-iRBcNs9oI8_3.npy,existing
-iRBcNs9oI8_6,278,50,6,2.78,outputs/features/audio/-iRBcNs9oI8_6.npy,existing
-iRBcNs9oI8_7,396,50,8,3.96,outputs/features/audio/-iRBcNs9oI8_7.npy,existing
-iRBcNs9oI8_8,798,50,16,7.98,outputs/features/audio/-iRBcNs9oI8_8.npy,existing
-iRBcNs9oI8_9,333,50,7,3.33,outputs/features/audio/-iRBcNs9oI8_9.npy,existing
-lzEya4AM_4_5,752,50,16,7.52,outputs/features/audio/-lzEya4AM_4_5.npy,existing
-lzEya4AM_4_6,1470,50,30,14.7,outputs/features/audio/-lzEya4AM_4_6.npy,existing
-mJ2ud6oKI8_1,601,50,13,6.01,outputs/features/audio/-mJ2ud6oKI8_1.npy,existing
-mJ2ud6oKI8_2,566,50,12,5.66,outputs/features/audio/-mJ2ud6oKI8_2.npy,existing
-mJ2ud6oKI8_6,218,50,5,2.18,outputs/features/audio/-mJ2ud6oKI8_6.npy,existing
-mJ2ud6oKI8_8,413,50,9,4.13,outputs/features/audio/-mJ2ud6oKI8_8.npy,existing
-mJ2ud6oKI8_9,686,50,14,6.86,outputs/features/audio/-mJ2ud6oKI8_9.npy,existing
-mqbVkbCndg_0,634,50,13,6.34,outputs/features/audio/-mqbVkbCndg_0.npy,existing
-qDkUB0GgYY_6,457,50,10,4.57,outputs/features/audio/-qDkUB0GgYY_6.npy,existing
-ri04Z7vwnc_0,272,50,6,2.72,outputs/features/audio/-ri04Z7vwnc_0.npy,existing
-ri04Z7vwnc_2,587,50,12,5.87,outputs/features/audio/-ri04Z7vwnc_2.npy,existing
-ri04Z7vwnc_5,339,50,7,3.39,outputs/features/audio/-ri04Z7vwnc_5.npy,existing
-s9qJ7ATP7w_0,667,50,14,6.67,outputs/features/audio/-s9qJ7ATP7w_0.npy,existing
-s9qJ7ATP7w_1,460,50,10,4.6,outputs/features/audio/-s9qJ7ATP7w_1.npy,existing
-s9qJ7ATP7w_4,420,50,9,4.2,outputs/features/audio/-s9qJ7ATP7w_4.npy,existing
-s9qJ7ATP7w_5,835,50,17,8.35,outputs/features/audio/-s9qJ7ATP7w_5.npy,existing
-s9qJ7ATP7w_6,227,50,5,2.27,outputs/features/audio/-s9qJ7ATP7w_6.npy,existing
-s9qJ7ATP7w_7,679,50,14,6.79,outputs/features/audio/-s9qJ7ATP7w_7.npy,existing
-s9qJ7ATP7w_8,314,50,7,3.14,outputs/features/audio/-s9qJ7ATP7w_8.npy,existing
-t217m2on-s_2,559,50,12,5.59,outputs/features/audio/-t217m2on-s_2.npy,existing
-t217m2on-s_7,1698,50,34,16.98,outputs/features/audio/-t217m2on-s_7.npy,existing
-tANM6ETl_M_3,656,50,14,6.56,outputs/features/audio/-tANM6ETl_M_3.npy,existing
-tPCytz4rww_10,463,50,10,4.63,outputs/features/audio/-tPCytz4rww_10.npy,existing
-tPCytz4rww_11,533,50,11,5.33,outputs/features/audio/-tPCytz4rww_11.npy,existing
-tPCytz4rww_12,1169,50,24,11.69,outputs/features/audio/-tPCytz4rww_12.npy,existing
-tPCytz4rww_16,709,50,15,7.09,outputs/features/audio/-tPCytz4rww_16.npy,existing
-tPCytz4rww_18,652,50,14,6.52,outputs/features/audio/-tPCytz4rww_18.npy,existing
-uywlfIYOS8_4,584,50,12,5.84,outputs/features/audio/-uywlfIYOS8_4.npy,existing
-vxjVxOeScU_4,899,50,18,8.99,outputs/features/audio/-vxjVxOeScU_4.npy,existing
-wMB_hJL-3o_7,593,50,12,5.93,outputs/features/audio/-wMB_hJL-3o_7.npy,existing
-wny0OAz3g8_0,323,50,7,3.23,outputs/features/audio/-wny0OAz3g8_0.npy,existing
-wny0OAz3g8_1,673,50,14,6.73,outputs/features/audio/-wny0OAz3g8_1.npy,existing
-wny0OAz3g8_2,648,50,13,6.48,outputs/features/audio/-wny0OAz3g8_2.npy,existing
-wny0OAz3g8_3,605,50,13,6.05,outputs/features/audio/-wny0OAz3g8_3.npy,existing
-wny0OAz3g8_5,670,50,14,6.7,outputs/features/audio/-wny0OAz3g8_5.npy,existing
-wny0OAz3g8_7,787,50,16,7.87,outputs/features/audio/-wny0OAz3g8_7.npy,existing
-wny0OAz3g8_9,600,50,12,6.0,outputs/features/audio/-wny0OAz3g8_9.npy,existing
-yRb-Jum7EQ_1,2906,50,50,29.06,outputs/features/audio/-yRb-Jum7EQ_1.npy,existing
-yRb-Jum7EQ_5,1300,50,26,13.0,outputs/features/audio/-yRb-Jum7EQ_5.npy,existing
-yRb-Jum7EQ_6,1120,50,23,11.2,outputs/features/audio/-yRb-Jum7EQ_6.npy,existing
