sample_id,video_id,clip_id,text_length_chars,valid_tokens,feature_file,status
-3g5yACwYnA_13,-3g5yACwYnA,13,80,20,outputs/features/text/-3g5yACwYnA_13.npy,existing
-3g5yACwYnA_3,-3g5yACwYnA,3,173,42,outputs/features/text/-3g5yACwYnA_3.npy,existing
-3g5yACwYnA_2,-3g5yACwYnA,2,85,19,outputs/features/text/-3g5yACwYnA_2.npy,existing
-3g5yACwYnA_9,-3g5yACwYnA,9,139,30,outputs/features/text/-3g5yACwYnA_9.npy,existing
-3nNcZdcdvU_5,-3nNcZdcdvU,5,104,24,outputs/features/text/-3nNcZdcdvU_5.npy,existing
-HwX2H8Z4hY_2,-HwX2H8Z4hY,2,48,14,outputs/features/text/-HwX2H8Z4hY_2.npy,existing
-HwX2H8Z4hY_5,-HwX2H8Z4hY,5,74,12,outputs/features/text/-HwX2H8Z4hY_5.npy,existing
-HwX2H8Z4hY_6,-HwX2H8Z4hY,6,31,11,outputs/features/text/-HwX2H8Z4hY_6.npy,existing
-HwX2H8Z4hY_9,-HwX2H8Z4hY,9,119,26,outputs/features/text/-HwX2H8Z4hY_9.npy,existing
-NFrJFQijFE_1,-NFrJFQijFE,1,93,18,outputs/features/text/-NFrJFQijFE_1.npy,existing
-NFrJFQijFE_2,-NFrJFQijFE,2,100,20,outputs/features/text/-NFrJFQijFE_2.npy,existing
-THoVjtIkeU_12,-THoVjtIkeU,12,207,44,outputs/features/text/-THoVjtIkeU_12.npy,existing
-THoVjtIkeU_2,-THoVjtIkeU,2,63,13,outputs/features/text/-THoVjtIkeU_2.npy,existing
-THoVjtIkeU_6,-THoVjtIkeU,6,150,34,outputs/features/text/-THoVjtIkeU_6.npy,existing
-UuX1xuaiiE_1,-UuX1xuaiiE,1,148,35,outputs/features/text/-UuX1xuaiiE_1.npy,existing
-UuX1xuaiiE_0,-UuX1xuaiiE,0,55,14,outputs/features/text/-UuX1xuaiiE_0.npy,existing
-UuX1xuaiiE_3,-UuX1xuaiiE,3,42,11,outputs/features/text/-UuX1xuaiiE_3.npy,existing
-UuX1xuaiiE_6,-UuX1xuaiiE,6,125,25,outputs/features/text/-UuX1xuaiiE_6.npy,existing
-a55Q6RWvTA_3,-a55Q6RWvTA,3,339,50,outputs/features/text/-a55Q6RWvTA_3.npy,existing
-aNfi7CP8vM_7,-aNfi7CP8vM,7,120,25,outputs/features/text/-aNfi7CP8vM_7.npy,existing
-aqamKhZ1Ec_0,-aqamKhZ1Ec,0,87,18,outputs/features/text/-aqamKhZ1Ec_0.npy,existing
-dxfTGcXJoc_1,-dxfTGcXJoc,1,231,44,outputs/features/text/-dxfTGcXJoc_1.npy,existing
-dxfTGcXJoc_0,-dxfTGcXJoc,0,265,50,outputs/features/text/-dxfTGcXJoc_0.npy,existing
-dxfTGcXJoc_2,-dxfTGcXJoc,2,231,42,outputs/features/text/-dxfTGcXJoc_2.npy,existing
-dxfTGcXJoc_6,-dxfTGcXJoc,6,188,34,outputs/features/text/-dxfTGcXJoc_6.npy,existing
-egA8-b7-3M_26,-egA8-b7-3M,26,82,21,outputs/features/text/-egA8-b7-3M_26.npy,existing
-egA8-b7-3M_17,-egA8-b7-3M,17,89,21,outputs/features/text/-egA8-b7-3M_17.npy,existing
-egA8-b7-3M_18,-egA8-b7-3M,18,125,29,outputs/features/text/-egA8-b7-3M_18.npy,existing
-egA8-b7-3M_16,-egA8-b7-3M,16,77,15,outputs/features/text/-egA8-b7-3M_16.npy,existing
-egA8-b7-3M_13,-egA8-b7-3M,13,65,18,outputs/features/text/-egA8-b7-3M_13.npy,existing
-egA8-b7-3M_1,-egA8-b7-3M,1,123,24,outputs/features/text/-egA8-b7-3M_1.npy,existing
-egA8-b7-3M_6,-egA8-b7-3M,6,80,15,outputs/features/text/-egA8-b7-3M_6.npy,existing
-egA8-b7-3M_9,-egA8-b7-3M,9,69,14,outputs/features/text/-egA8-b7-3M_9.npy,existing
-egA8-b7-3M_20,-egA8-b7-3M,20,98,26,outputs/features/text/-egA8-b7-3M_20.npy,existing
-iRBcNs9oI8_3,-iRBcNs9oI8,3,36,11,outputs/features/text/-iRBcNs9oI8_3.npy,existing
-iRBcNs9oI8_7,-iRBcNs9oI8,7,50,17,outputs/features/text/-iRBcNs9oI8_7.npy,existing
-iRBcNs9oI8_6,-iRBcNs9oI8,6,20,7,outputs/features/text/-iRBcNs9oI8_6.npy,existing
-iRBcNs9oI8_9,-iRBcNs9oI8,9,28,7,outputs/features/text/-iRBcNs9oI8_9.npy,existing
-iRBcNs9oI8_8,-iRBcNs9oI8,8,96,28,outputs/features/text/-iRBcNs9oI8_8.npy,existing
-lzEya4AM_4_5,-lzEya4AM_4,5,104,23,outputs/features/text/-lzEya4AM_4_5.npy,existing
-lzEya4AM_4_6,-lzEya4AM_4,6,228,50,outputs/features/text/-lzEya4AM_4_6.npy,existing
-mJ2ud6oKI8_1,-mJ2ud6oKI8,1,60,15,outputs/features/text/-mJ2ud6oKI8_1.npy,existing
-mJ2ud6oKI8_2,-mJ2ud6oKI8,2,86,19,outputs/features/text/-mJ2ud6oKI8_2.npy,existing
-mJ2ud6oKI8_6,-mJ2ud6oKI8,6,22,7,outputs/features/text/-mJ2ud6oKI8_6.npy,existing
-mJ2ud6oKI8_9,-mJ2ud6oKI8,9,112,31,outputs/features/text/-mJ2ud6oKI8_9.npy,existing
-mJ2ud6oKI8_8,-mJ2ud6oKI8,8,65,13,outputs/features/text/-mJ2ud6oKI8_8.npy,existing
