sample_id,n_frames,n_dims,valid_segments,duration_sec,feature_file,status
-3g5yACwYnA_13,163,20,11,5.4,outputs/features/visual/-3g5yACwYnA_13.npy,existing
-3g5yACwYnA_2,278,20,19,9.233,outputs/features/visual/-3g5yACwYnA_2.npy,existing
-3g5yACwYnA_3,431,20,29,14.333,outputs/features/visual/-3g5yACwYnA_3.npy,existing
-3g5yACwYnA_9,263,20,18,8.733,outputs/features/visual/-3g5yACwYnA_9.npy,existing
-3nNcZdcdvU_5,236,20,16,7.833,outputs/features/visual/-3nNcZdcdvU_5.npy,existing
-571d8cVauQ_0,152,20,11,5.033,outputs/features/visual/-571d8cVauQ_0.npy,existing
-571d8cVauQ_5,455,20,31,15.133,outputs/features/visual/-571d8cVauQ_5.npy,existing
-6rXp3zJ3kc_8,384,20,26,12.767,outputs/features/visual/-6rXp3zJ3kc_8.npy,existing
-9y-fZ3swSY_0,205,20,14,6.8,outputs/features/visual/-9y-fZ3swSY_0.npy,existing
-9y-fZ3swSY_4,81,20,6,2.667,outputs/features/visual/-9y-fZ3swSY_4.npy,existing
-9y-fZ3swSY_8,149,20,10,4.933,outputs/features/visual/-9y-fZ3swSY_8.npy,existing
-AUZQgSxyPQ_2,674,20,45,22.433,outputs/features/visual/-AUZQgSxyPQ_2.npy,existing
-HeZS2-Prhc_2,246,20,17,8.167,outputs/features/visual/-HeZS2-Prhc_2.npy,existing
-HwX2H8Z4hY_2,119,20,8,3.933,outputs/features/visual/-HwX2H8Z4hY_2.npy,existing
-HwX2H8Z4hY_5,168,20,12,5.567,outputs/features/visual/-HwX2H8Z4hY_5.npy,existing
-HwX2H8Z4hY_6,99,20,7,3.267,outputs/features/visual/-HwX2H8Z4hY_6.npy,existing
-HwX2H8Z4hY_9,232,20,16,7.7,outputs/features/visual/-HwX2H8Z4hY_9.npy,existing
-I_e4mIh0yE_1,225,20,15,7.467,outputs/features/visual/-I_e4mIh0yE_1.npy,existing
-I_e4mIh0yE_3,271,20,19,9.0,outputs/features/visual/-I_e4mIh0yE_3.npy,existing
-MeTTeMJBNc_0,279,20,19,9.267,outputs/features/visual/-MeTTeMJBNc_0.npy,existing
-MeTTeMJBNc_13,159,20,11,5.267,outputs/features/visual/-MeTTeMJBNc_13.npy,existing
-MeTTeMJBNc_7,314,20,21,10.433,outputs/features/visual/-MeTTeMJBNc_7.npy,existing
-NFrJFQijFE_1,142,20,12,5.64,outputs/features/visual/-NFrJFQijFE_1.npy,existing
-NFrJFQijFE_2,169,20,14,6.72,outputs/features/visual/-NFrJFQijFE_2.npy,existing
-RfYyzHpjk4_11,154,20,11,5.1,outputs/features/visual/-RfYyzHpjk4_11.npy,existing
-RfYyzHpjk4_2,164,20,11,5.433,outputs/features/visual/-RfYyzHpjk4_2.npy,existing
-RfYyzHpjk4_8,137,20,10,4.533,outputs/features/visual/-RfYyzHpjk4_8.npy,existing
-THoVjtIkeU_12,445,20,30,14.8,outputs/features/visual/-THoVjtIkeU_12.npy,existing
-THoVjtIkeU_2,128,20,9,4.233,outputs/features/visual/-THoVjtIkeU_2.npy,existing
-THoVjtIkeU_6,241,20,17,8.0,outputs/features/visual/-THoVjtIkeU_6.npy,existing
-UUCSKoHeMA_0,234,20,16,7.767,outputs/features/visual/-UUCSKoHeMA_0.npy,existing
-UacrmKiTn4_10,218,20,15,7.233,outputs/features/visual/-UacrmKiTn4_10.npy,existing
-UacrmKiTn4_4,142,20,10,4.7,outputs/features/visual/-UacrmKiTn4_4.npy,existing
-UuX1xuaiiE_0,109,20,8,3.6,outputs/features/visual/-UuX1xuaiiE_0.npy,existing
-UuX1xuaiiE_1,309,20,21,10.267,outputs/features/visual/-UuX1xuaiiE_1.npy,existing
-UuX1xuaiiE_3,123,20,9,4.067,outputs/features/visual/-UuX1xuaiiE_3.npy,existing
-UuX1xuaiiE_6,240,20,16,7.967,outputs/features/visual/-UuX1xuaiiE_6.npy,existing
-a55Q6RWvTA_3,664,20,45,22.1,outputs/features/visual/-a55Q6RWvTA_3.npy,existing
-aNfi7CP8vM_7,257,20,18,8.533,outputs/features/visual/-aNfi7CP8vM_7.npy,existing
-aqamKhZ1Ec_0,329,20,22,10.933,outputs/features/visual/-aqamKhZ1Ec_0.npy,existing
-dxfTGcXJoc_0,615,20,41,20.467,outputs/features/visual/-dxfTGcXJoc_0.npy,existing
-dxfTGcXJoc_1,482,20,33,16.033,outputs/features/visual/-dxfTGcXJoc_1.npy,existing
-dxfTGcXJoc_2,500,20,34,16.633,outputs/features/visual/-dxfTGcXJoc_2.npy,existing
-dxfTGcXJoc_6,381,20,26,12.667,outputs/features/visual/-dxfTGcXJoc_6.npy,existing
-egA8-b7-3M_1,306,20,21,10.167,outputs/features/visual/-egA8-b7-3M_1.npy,existing
-egA8-b7-3M_13,123,20,9,4.067,outputs/features/visual/-egA8-b7-3M_13.npy,existing
-egA8-b7-3M_16,166,20,12,5.5,outputs/features/visual/-egA8-b7-3M_16.npy,existing
-egA8-b7-3M_17,215,20,15,7.133,outputs/features/visual/-egA8-b7-3M_17.npy,existing
-egA8-b7-3M_18,250,20,17,8.3,outputs/features/visual/-egA8-b7-3M_18.npy,existing
-egA8-b7-3M_20,196,20,14,6.5,outputs/features/visual/-egA8-b7-3M_20.npy,existing
-egA8-b7-3M_26,179,20,12,5.933,outputs/features/visual/-egA8-b7-3M_26.npy,existing
-egA8-b7-3M_6,187,20,13,6.2,outputs/features/visual/-egA8-b7-3M_6.npy,existing
-egA8-b7-3M_9,150,20,10,4.967,outputs/features/visual/-egA8-b7-3M_9.npy,existing
-hnBHBN8p5A_6,153,20,13,6.34,outputs/features/visual/-hnBHBN8p5A_6.npy,existing
-hnBHBN8p5A_7,176,20,15,7.299,outputs/features/visual/-hnBHBN8p5A_7.npy,existing
-iRBcNs9oI8_3,167,20,12,5.539,outputs/features/visual/-iRBcNs9oI8_3.npy,existing
-iRBcNs9oI8_6,85,20,6,2.803,outputs/features/visual/-iRBcNs9oI8_6.npy,existing
-iRBcNs9oI8_7,120,20,8,3.971,outputs/features/visual/-iRBcNs9oI8_7.npy,existing
-iRBcNs9oI8_8,241,20,17,8.008,outputs/features/visual/-iRBcNs9oI8_8.npy,existing
-iRBcNs9oI8_9,102,20,7,3.37,outputs/features/visual/-iRBcNs9oI8_9.npy,existing
-lzEya4AM_4_5,229,20,16,7.6,outputs/features/visual/-lzEya4AM_4_5.npy,existing
-lzEya4AM_4_6,443,20,30,14.733,outputs/features/visual/-lzEya4AM_4_6.npy,existing
-mJ2ud6oKI8_1,182,20,13,6.039,outputs/features/visual/-mJ2ud6oKI8_1.npy,existing
-mJ2ud6oKI8_2,171,20,12,5.672,outputs/features/visual/-mJ2ud6oKI8_2.npy,existing
-mJ2ud6oKI8_6,67,20,5,2.202,outputs/features/visual/-mJ2ud6oKI8_6.npy,existing
-mJ2ud6oKI8_8,125,20,9,4.137,outputs/features/visual/-mJ2ud6oKI8_8.npy,existing
-mJ2ud6oKI8_9,208,20,14,6.907,outputs/features/visual/-mJ2ud6oKI8_9.npy,existing
-mqbVkbCndg_0,194,20,13,6.433,outputs/features/visual/-mqbVkbCndg_0.npy,existing
-qDkUB0GgYY_6,140,20,10,4.633,outputs/features/visual/-qDkUB0GgYY_6.npy,existing
-ri04Z7vwnc_0,67,20,6,2.753,outputs/features/visual/-ri04Z7vwnc_0.npy,existing
-ri04Z7vwnc_2,143,20,12,5.923,outputs/features/visual/-ri04Z7vwnc_2.npy,existing
-ri04Z7vwnc_5,83,20,7,3.42,outputs/features/visual/-ri04Z7vwnc_5.npy,existing
-s9qJ7ATP7w_0,204,20,14,6.767,outputs/features/visual/-s9qJ7ATP7w_0.npy,existing
-s9qJ7ATP7w_1,140,20,10,4.633,outputs/features/visual/-s9qJ7ATP7w_1.npy,existing
-s9qJ7ATP7w_4,129,20,9,4.267,outputs/features/visual/-s9qJ7ATP7w_4.npy,existing
-s9qJ7ATP7w_5,253,20,17,8.4,outputs/features/visual/-s9qJ7ATP7w_5.npy,existing
-s9qJ7ATP7w_6,71,20,5,2.333,outputs/features/visual/-s9qJ7ATP7w_6.npy,existing
-s9qJ7ATP7w_7,207,20,14,6.867,outputs/features/visual/-s9qJ7ATP7w_7.npy,existing
-s9qJ7ATP7w_8,97,20,7,3.2,outputs/features/visual/-s9qJ7ATP7w_8.npy,existing
-t217m2on-s_2,170,20,12,5.633,outputs/features/visual/-t217m2on-s_2.npy,existing
-t217m2on-s_7,512,20,35,17.033,outputs/features/visual/-t217m2on-s_7.npy,existing
-tANM6ETl_M_3,200,20,14,6.633,outputs/features/visual/-tANM6ETl_M_3.npy,existing
-tPCytz4rww_10,142,20,10,4.7,outputs/features/visual/-tPCytz4rww_10.npy,existing
-tPCytz4rww_11,164,20,11,5.433,outputs/features/visual/-tPCytz4rww_11.npy,existing
-tPCytz4rww_12,353,20,24,11.733,outputs/features/visual/-tPCytz4rww_12.npy,existing
-tPCytz4rww_16,216,20,15,7.167,outputs/features/visual/-tPCytz4rww_16.npy,existing
-tPCytz4rww_18,199,20,14,6.6,outputs/features/visual/-tPCytz4rww_18.npy,existing
-uywlfIYOS8_4,179,20,12,5.933,outputs/features/visual/-uywlfIYOS8_4.npy,existing
-vxjVxOeScU_4,272,20,19,9.033,outputs/features/visual/-vxjVxOeScU_4.npy,existing
-wMB_hJL-3o_7,181,20,13,6.0,outputs/features/visual/-wMB_hJL-3o_7.npy,existing
-wny0OAz3g8_0,100,20,7,3.3,outputs/features/visual/-wny0OAz3g8_0.npy,existing
-wny0OAz3g8_1,205,20,14,6.8,outputs/features/visual/-wny0OAz3g8_1.npy,existing
-wny0OAz3g8_2,197,20,14,6.533,outputs/features/visual/-wny0OAz3g8_2.npy,existing
-wny0OAz3g8_3,184,20,13,6.1,outputs/features/visual/-wny0OAz3g8_3.npy,existing
-wny0OAz3g8_5,204,20,14,6.767,outputs/features/visual/-wny0OAz3g8_5.npy,existing
-wny0OAz3g8_7,240,20,16,7.967,outputs/features/visual/-wny0OAz3g8_7.npy,existing
-wny0OAz3g8_9,183,20,13,6.067,outputs/features/visual/-wny0OAz3g8_9.npy,existing
-yRb-Jum7EQ_1,875,20,50,29.133,outputs/features/visual/-yRb-Jum7EQ_1.npy,existing
-yRb-Jum7EQ_5,394,20,27,13.1,outputs/features/visual/-yRb-Jum7EQ_5.npy,existing
-yRb-Jum7EQ_6,336,20,23,11.167,outputs/features/visual/-yRb-Jum7EQ_6.npy,existing
