sample_id,modality,feature_file,shape,dtype,size_bytes,sha256
-3g5yACwYnA_13,audio,outputs/features/audio/-3g5yACwYnA_13.npy,50x25,float32,5128,0f3bae32fc0a5a4688e28f79c7f8b9daa1b367beb1d99e57d139c329e8d5fc02
-3g5yACwYnA_13,vision,outputs/features/visual/-3g5yACwYnA_13.npy,50x20,float32,4128,18e53509bd92a76c60cd434186d566fce156b77397753758e9045268c4cb5928
-3g5yACwYnA_13,text,outputs/features/text/-3g5yACwYnA_13.npy,50x768,float32,153728,12bce85a862ed10d1ac383ec83c572b50ee26e78a903a94a29d3108be14ea566
-3g5yACwYnA_2,audio,outputs/features/audio/-3g5yACwYnA_2.npy,50x25,float32,5128,e81e273ef102cf2516ccd1c546b3471421cf634260bbb028f7ba6f8ed2b76f70
-3g5yACwYnA_2,vision,outputs/features/visual/-3g5yACwYnA_2.npy,50x20,float32,4128,15162cfb0c48196803f1d930853f597a979fb6c90bd7cafb4758a0b960b7b3cf
-3g5yACwYnA_2,text,outputs/features/text/-3g5yACwYnA_2.npy,50x768,float32,153728,604c05b67ff86bf7e574a45df9480f800c3e630dbe5879d368c0974838375601
-3g5yACwYnA_3,audio,outputs/features/audio/-3g5yACwYnA_3.npy,50x25,float32,5128,0071a97dbc26cf7d888f3e7996be54ef007ee55da66630de6b0c728dfb7edecf
-3g5yACwYnA_3,vision,outputs/features/visual/-3g5yACwYnA_3.npy,50x20,float32,4128,308833c2259ab236335d2ee201dbf65c9f5348fd5187f77d6eee79a30cbf920e
-3g5yACwYnA_3,text,outputs/features/text/-3g5yACwYnA_3.npy,50x768,float32,153728,00e98e486e153e39227a45920f6feb28ebbbb9cb2bcfbb9910e70f572d7db292
-3g5yACwYnA_9,audio,outputs/features/audio/-3g5yACwYnA_9.npy,50x25,float32,5128,ecf651c5545b83fb4d1cb47158255bc7ded1e88f91d2804e40bc3bc9a6603875
