sample_id,video_id,clip_id,modality,original_duration_or_length,unit,feature_dim,valid_length,aligned_granularity,padding_rule
-3g5yACwYnA_13,-3g5yACwYnA,13,audio,5.35,seconds,25,11,0.5s,zero padding
-3g5yACwYnA_13,-3g5yACwYnA,13,text,80.0,characters,768,20,token_position,BERT padding vector
-3g5yACwYnA_13,-3g5yACwYnA,13,vision,5.4,seconds,20,11,0.5s,zero padding
-3g5yACwYnA_2,-3g5yACwYnA,2,audio,9.19,seconds,25,19,0.5s,zero padding
-3g5yACwYnA_2,-3g5yACwYnA,2,text,85.0,characters,768,19,token_position,BERT padding vector
-3g5yACwYnA_2,-3g5yACwYnA,2,vision,9.233,seconds,20,19,0.5s,zero padding
-3g5yACwYnA_3,-3g5yACwYnA,3,audio,14.28,seconds,25,29,0.5s,zero padding
-3g5yACwYnA_3,-3g5yACwYnA,3,text,173.0,characters,768,42,token_position,BERT padding vector
-3g5yACwYnA_3,-3g5yACwYnA,3,vision,14.333,seconds,20,29,0.5s,zero padding
-3g5yACwYnA_9,-3g5yACwYnA,9,audio,8.65,seconds,25,18,0.5s,zero padding
-3g5yACwYnA_9,-3g5yACwYnA,9,text,139.0,characters,768,30,token_position,BERT padding vector
-3g5yACwYnA_9,-3g5yACwYnA,9,vision,8.733,seconds,20,18,0.5s,zero padding
-3nNcZdcdvU_5,-3nNcZdcdvU,5,audio,7.74,seconds,25,16,0.5s,zero padding
-3nNcZdcdvU_5,-3nNcZdcdvU,5,text,104.0,characters,768,24,token_position,BERT padding vector
-3nNcZdcdvU_5,-3nNcZdcdvU,5,vision,7.833,seconds,20,16,0.5s,zero padding
-571d8cVauQ_0,-571d8cVauQ,0,audio,4.95,seconds,25,10,0.5s,zero padding
-571d8cVauQ_0,-571d8cVauQ,0,text,72.0,characters,768,18,token_position,BERT padding vector
-571d8cVauQ_0,-571d8cVauQ,0,vision,5.033,seconds,20,11,0.5s,zero padding
-571d8cVauQ_5,-571d8cVauQ,5,audio,15.07,seconds,25,31,0.5s,zero padding
-571d8cVauQ_5,-571d8cVauQ,5,text,229.0,characters,768,50,token_position,BERT padding vector
-571d8cVauQ_5,-571d8cVauQ,5,vision,15.133,seconds,20,31,0.5s,zero padding
-6rXp3zJ3kc_8,-6rXp3zJ3kc,8,audio,12.69,seconds,25,26,0.5s,zero padding
-6rXp3zJ3kc_8,-6rXp3zJ3kc,8,text,170.0,characters,768,40,token_position,BERT padding vector
-6rXp3zJ3kc_8,-6rXp3zJ3kc,8,vision,12.767,seconds,20,26,0.5s,zero padding
-9y-fZ3swSY_0,-9y-fZ3swSY,0,audio,6.71,seconds,25,14,0.5s,zero padding
-9y-fZ3swSY_0,-9y-fZ3swSY,0,text,102.0,characters,768,30,token_position,BERT padding vector
-9y-fZ3swSY_0,-9y-fZ3swSY,0,vision,6.8,seconds,20,14,0.5s,zero padding
-9y-fZ3swSY_4,-9y-fZ3swSY,4,audio,2.62,seconds,25,6,0.5s,zero padding
-9y-fZ3swSY_4,-9y-fZ3swSY,4,text,33.0,characters,768,13,token_position,BERT padding vector
-9y-fZ3swSY_4,-9y-fZ3swSY,4,vision,2.667,seconds,20,6,0.5s,zero padding
-9y-fZ3swSY_8,-9y-fZ3swSY,8,audio,4.87,seconds,25,10,0.5s,zero padding
-9y-fZ3swSY_8,-9y-fZ3swSY,8,text,55.0,characters,768,16,token_position,BERT padding vector
-9y-fZ3swSY_8,-9y-fZ3swSY,8,vision,4.933,seconds,20,10,0.5s,zero padding
-AUZQgSxyPQ_2,-AUZQgSxyPQ,2,audio,22.36,seconds,25,45,0.5s,zero padding
-AUZQgSxyPQ_2,-AUZQgSxyPQ,2,text,262.0,characters,768,50,token_position,BERT padding vector
-AUZQgSxyPQ_2,-AUZQgSxyPQ,2,vision,22.433,seconds,20,45,0.5s,zero padding
-HeZS2-Prhc_2,-HeZS2-Prhc,2,audio,8.11,seconds,25,17,0.5s,zero padding
-HeZS2-Prhc_2,-HeZS2-Prhc,2,text,77.0,characters,768,19,token_position,BERT padding vector
-HeZS2-Prhc_2,-HeZS2-Prhc,2,vision,8.167,seconds,20,17,0.5s,zero padding
-HwX2H8Z4hY_2,-HwX2H8Z4hY,2,audio,3.87,seconds,25,8,0.5s,zero padding
-HwX2H8Z4hY_2,-HwX2H8Z4hY,2,text,48.0,characters,768,14,token_position,BERT padding vector
-HwX2H8Z4hY_2,-HwX2H8Z4hY,2,vision,3.933,seconds,20,8,0.5s,zero padding
-HwX2H8Z4hY_5,-HwX2H8Z4hY,5,audio,5.5,seconds,25,11,0.5s,zero padding
-HwX2H8Z4hY_5,-HwX2H8Z4hY,5,text,74.0,characters,768,12,token_position,BERT padding vector
-HwX2H8Z4hY_5,-HwX2H8Z4hY,5,vision,5.567,seconds,20,12,0.5s,zero padding
-HwX2H8Z4hY_6,-HwX2H8Z4hY,6,audio,3.21,seconds,25,7,0.5s,zero padding
-HwX2H8Z4hY_6,-HwX2H8Z4hY,6,text,31.0,characters,768,11,token_position,BERT padding vector
-HwX2H8Z4hY_6,-HwX2H8Z4hY,6,vision,3.267,seconds,20,7,0.5s,zero padding
-HwX2H8Z4hY_9,-HwX2H8Z4hY,9,audio,7.59,seconds,25,16,0.5s,zero padding
-HwX2H8Z4hY_9,-HwX2H8Z4hY,9,text,119.0,characters,768,26,token_position,BERT padding vector
-HwX2H8Z4hY_9,-HwX2H8Z4hY,9,vision,7.7,seconds,20,16,0.5s,zero padding
-I_e4mIh0yE_1,-I_e4mIh0yE,1,audio,7.4,seconds,25,15,0.5s,zero padding
-I_e4mIh0yE_1,-I_e4mIh0yE,1,text,98.0,characters,768,23,token_position,BERT padding vector
-I_e4mIh0yE_1,-I_e4mIh0yE,1,vision,7.467,seconds,20,15,0.5s,zero padding
-I_e4mIh0yE_3,-I_e4mIh0yE,3,audio,8.95,seconds,25,18,0.5s,zero padding
-I_e4mIh0yE_3,-I_e4mIh0yE,3,text,132.0,characters,768,32,token_position,BERT padding vector
-I_e4mIh0yE_3,-I_e4mIh0yE,3,vision,9.0,seconds,20,19,0.5s,zero padding
-MeTTeMJBNc_0,-MeTTeMJBNc,0,audio,9.17,seconds,25,19,0.5s,zero padding
-MeTTeMJBNc_0,-MeTTeMJBNc,0,text,117.0,characters,768,28,token_position,BERT padding vector
-MeTTeMJBNc_0,-MeTTeMJBNc,0,vision,9.267,seconds,20,19,0.5s,zero padding
-MeTTeMJBNc_13,-MeTTeMJBNc,13,audio,5.21,seconds,25,11,0.5s,zero padding
-MeTTeMJBNc_13,-MeTTeMJBNc,13,text,70.0,characters,768,18,token_position,BERT padding vector
-MeTTeMJBNc_13,-MeTTeMJBNc,13,vision,5.267,seconds,20,11,0.5s,zero padding
