sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity,prob_negative,prob_neutral,prob_positive
-UacrmKiTn4$_$7,Positive,Positive,0.3333333432674408,0.5221517262964267,0.038755999782756206,0.3165114238074491,0.6447325764097946
-qDkUB0GgYY$_$5,Positive,Positive,2.0,0.5447142232743867,0.051047033095477465,0.34197981070834926,0.6069731561961732
0utROiKxejc$_$1,Neutral,Neutral,0.0,0.0,0.10407158381481775,0.4621789627064035,0.4337494534787787
0utROiKxejc$_$4,Neutral,Negative,0.0,-1.2121457131778255,0.8341252807429613,0.11831502879596163,0.04755969046107692
0y022OlZ3W0$_$3,Positive,Positive,1.3333333730697632,1.1255952992083813,0.028911108054372102,0.15041749308077568,0.8206713988648521
0y022OlZ3W0$_$5,Negative,Negative,-1.3333333730697632,-0.7951850465099789,0.7507397687733774,0.1754396025999791,0.07382062862664365
0y022OlZ3W0$_$8,Negative,Neutral,-0.3333333432674408,0.0,0.08455196910816076,0.5220557134847574,0.39339231740708175
101787$_$11,Neutral,Neutral,0.0,0.0,0.26606466692151903,0.5508808369225003,0.18305449615598068
101787$_$13,Negative,Positive,-1.6666666269302368,0.4984078839777763,0.17903395762116306,0.24439095861303442,0.5765750837658025
101787$_$1,Negative,Neutral,-0.6666666865348816,0.0,0.25881789153667645,0.5916979135389451,0.1494841949243785
101787$_$5,Negative,Negative,-1.6666666269302368,-1.2790654585172094,0.8343723788957288,0.11371315082673095,0.05191447027754042
101787$_$7,Positive,Positive,1.0,1.3687517830769316,0.03582543138607042,0.13563283342396523,0.8285417351899643
101787$_$9,Negative,Neutral,-0.3333333432674408,0.0,0.41549363809790596,0.45282115701953524,0.1316852048825587
102408$_$2,Negative,Neutral,-0.3333333432674408,0.0,0.1710446203130611,0.548861084805213,0.28009429488172594
102408$_$5,Negative,Positive,-2.0,1.4606441857971904,0.05443925073068803,0.1085618847175208,0.8369988645517912
102408$_$9,Negative,Negative,-1.6666666269302368,-0.414329597459126,0.6213468781380643,0.2376558041293532,0.14099731773258248
102858$_$20,Positive,Positive,2.0,0.048604464184612506,0.32806417860330567,0.284716627849852,0.3872191935468423
102858$_$21,Positive,Negative,1.0,-0.5874484374114315,0.5922548077906519,0.31427840044929584,0.09346679176005236
102858$_$1,Positive,Neutral,0.3333333432674408,0.0,0.09016986301787581,0.5927549955315174,0.3170751414506068
102858$_$0,Positive,Positive,0.3333333432674408,0.27569584104350625,0.05357313215686628,0.4729898690957172,0.4734369987474166
102858$_$4,Positive,Positive,3.0,0.5882392522054095,0.05263010067389324,0.3253024491993759,0.6220674501267309
102858$_$6,Positive,Neutral,2.6666667461395264,0.0,0.2722527389083661,0.5253748293944095,0.20237243169722438
102858$_$10,Positive,Positive,2.0,1.3650333400670096,0.0707844731367332,0.12360687823379597,0.8056086486294709
102858$_$17,Positive,Neutral,1.0,0.0,0.36842075477498415,0.4988342672758838,0.13274497794913198
102858$_$19,Neutral,Neutral,0.0,0.0,0.10643790614278073,0.6326522782362503,0.26090981562096904
112433$_$10,Neutral,Neutral,0.0,0.0,0.10861631217063603,0.7137664152398482,0.17761727258951582
112433$_$3,Negative,Negative,-0.3333333432674408,-0.3047659178310482,0.4856812315463692,0.364055454667779,0.1502633137858519
112433$_$7,Negative,Negative,-0.6666666865348816,-0.54884610813411,0.6549685044394699,0.19965715838378506,0.14537433717674517
112433$_$6,Negative,Negative,-1.3333333730697632,-1.2674376999087387,0.8189689050791288,0.11880620985333908,0.06222488506753224
117tQqLjza4$_$6,Positive,Positive,0.6666666865348816,0.4468972713986001,0.042187134442724324,0.3658247556900996,0.5919881098671761
11j7EfglCAs$_$2,Positive,Positive,0.6666666865348816,0.23517326834677102,0.0679151121537207,0.46279252970925755,0.4692923581370218
121128$_$10,Positive,Positive,2.0,1.1765842241019264,0.11500686475566803,0.13787732805925823,0.7471158071850738
121128$_$1,Neutral,Neutral,0.0,0.0,0.09121037126774584,0.6007185979626659,0.3080710307695882
121128$_$0,Neutral,Neutral,0.0,0.0,0.07328668236816274,0.5757714342083446,0.35094188342349253
121128$_$5,Positive,Positive,3.0,1.5153494671907126,0.04723921644136395,0.10937911276922598,0.8433816707894102
125344$_$0,Positive,Negative,0.6666666865348816,-0.015672456264111498,0.43483701303843414,0.2875660874812667,0.27759689948029925
125676$_$0,Negative,Positive,-0.3333333432674408,0.49993092923009363,0.05562835926651848,0.35658133907640016,0.5877903016570813
125676$_$4,Positive,Positive,2.0,1.3941522141258105,0.024005787372207748,0.11337762370718837,0.8626165889206039
128059$_$11,Negative,Negative,-1.0,-0.9210635125333818,0.7559056744531796,0.14606981826012405,0.0980245072866964
128059$_$12,Positive,Neutral,0.6666666865348816,0.0,0.3931047995827331,0.41499555682220907,0.19189964359505787
128059$_$2,Negative,Negative,-1.6666666269302368,-0.5716549382895202,0.5819046622214205,0.2423848638612821,0.17571047391729747
128059$_$7,Neutral,Neutral,0.0,0.0,0.3982338806445339,0.434357280708959,0.167408838646507
128059$_$6,Positive,Negative,1.0,-0.30487127892111365,0.4991208073130455,0.25302751714494637,0.2478516755420082
128059$_$9,Positive,Negative,0.3333333432674408,-0.33563325053828463,0.559499455800079,0.22340552703962835,0.21709501716029267
