mode,rate,position,accuracy,macro_f1,mae,pearson,n
text,0.1,start,0.6414835164835165,0.6067950460498445,0.5654041767120361,0.6740894148406527,728
text,0.1,middle,0.6483516483516484,0.6180539755154293,0.5658408999443054,0.6695126282206604,728
text,0.1,end,0.6387362637362637,0.5988494176526039,0.5649343132972717,0.6689285519597278,728
text,0.3,start,0.6277472527472527,0.5937038405943691,0.5873499512672424,0.6452153829272896,728
text,0.3,middle,0.6456043956043956,0.6155027239830578,0.5688668489456177,0.6605804828760675,728
text,0.3,end,0.625,0.586408668553977,0.5663246512413025,0.6675608304027243,728
text,0.5,start,0.6112637362637363,0.5797697004015697,0.6013464331626892,0.6099545590708568,728
text,0.5,middle,0.6291208791208791,0.6028249978345946,0.583074688911438,0.6382075284588281,728
text,0.5,end,0.614010989010989,0.5831042711360102,0.5850753784179688,0.6314451526390131,728
audio,0.1,start,0.6483516483516484,0.6143350477783417,0.5621027946472168,0.67789729122127,728
audio,0.1,middle,0.6428571428571429,0.6085612670978525,0.5609022974967957,0.6790117955510919,728
audio,0.1,end,0.646978021978022,0.6139257545408129,0.5617268085479736,0.6778520951777613,728
audio,0.3,start,0.6456043956043956,0.6139270158118929,0.5635617971420288,0.6740968057129858,728
audio,0.3,middle,0.6414835164835165,0.6072065005255983,0.5605540871620178,0.6794865863710428,728
audio,0.3,end,0.6428571428571429,0.6082235736166934,0.5635278820991516,0.6774676569780158,728
audio,0.5,start,0.6414835164835165,0.609427588860361,0.5635260343551636,0.6748271567093438,728
audio,0.5,middle,0.6428571428571429,0.6081251224084384,0.5611403584480286,0.6790577846713616,728
audio,0.5,end,0.6428571428571429,0.6091263490149949,0.5627011656761169,0.6766936531323933,728
vision,0.1,start,0.6483516483516484,0.6150155858402345,0.5609526038169861,0.6781578000175181,728
vision,0.1,middle,0.646978021978022,0.6139257545408129,0.5615629553794861,0.6778492048802099,728
vision,0.1,end,0.6497252747252747,0.6171199724298727,0.5619486570358276,0.6781307810467263,728
vision,0.3,start,0.6428571428571429,0.6079027115612482,0.5619286298751831,0.6772544909946897,728
vision,0.3,middle,0.6401098901098901,0.6072413225720984,0.5620556473731995,0.6779680676228688,728
vision,0.3,end,0.6456043956043956,0.61382483937328,0.5634528994560242,0.6766464503849436,728
vision,0.5,start,0.6456043956043956,0.612837115408955,0.5621228218078613,0.676517732097201,728
vision,0.5,middle,0.6401098901098901,0.6092411625503826,0.5615919232368469,0.6775432547224972,728
vision,0.5,end,0.6414835164835165,0.6103816408558995,0.5632727146148682,0.6752019952474761,728
text+audio,0.1,start,0.6442307692307693,0.6108301234738329,0.5656247735023499,0.6725163081370601,728
text+audio,0.1,middle,0.646978021978022,0.6168855251094326,0.5650997757911682,0.67065811958884,728
text+audio,0.1,end,0.6401098901098901,0.5997977343903944,0.5644062757492065,0.6683115253479439,728
text+audio,0.3,start,0.625,0.5890117674373426,0.5894263982772827,0.6426947898560069,728
text+audio,0.3,middle,0.6442307692307693,0.6154715181357228,0.5683794617652893,0.6611630923674597,728
text+audio,0.3,end,0.625,0.5855292467601013,0.5667812824249268,0.6679910638495923,728
text+audio,0.5,start,0.6043956043956044,0.5739520170463792,0.6045630574226379,0.6065386308694366,728
text+audio,0.5,middle,0.6332417582417582,0.6093933921314083,0.5818092226982117,0.6403320201318009,728
text+audio,0.5,end,0.6153846153846154,0.5800436937678426,0.5837998986244202,0.6317206734600759,728
text+vision,0.1,start,0.6401098901098901,0.603947903947904,0.5652692914009094,0.6741699342832842,728
text+vision,0.1,middle,0.6387362637362637,0.6079902064094623,0.5670977830886841,0.6676234711197645,728
text+vision,0.1,end,0.6373626373626373,0.5972658762645079,0.5651761293411255,0.6688421892334747,728
text+vision,0.3,start,0.625,0.5893654700053388,0.5861783027648926,0.6451606804835296,728
text+vision,0.3,middle,0.6401098901098901,0.6129634452661635,0.5699034333229065,0.6594651802458091,728
text+vision,0.3,end,0.6222527472527473,0.5847997318585554,0.5677179098129272,0.6644433610804821,728
text+vision,0.5,start,0.6112637362637363,0.5820257299127352,0.6028313040733337,0.6067322752697955,728
text+vision,0.5,middle,0.6304945054945055,0.607241223380855,0.5837882161140442,0.6322051767162182,728
