sample_id,polarity,intensity,raw_intensity,prob_negative,prob_neutral,prob_positive,gate_text,gate_audio,gate_vision
附件3_01,Negative,-0.623336,-0.623336,0.618121,0.266765,0.115114,0.733,0.1563,0.1107
附件3_02,Neutral,0.0,-0.008869,0.174586,0.615839,0.209575,0.8022,0.0854,0.1124
附件3_03,Neutral,0.0,0.13487,0.123224,0.53751,0.339266,0.627,0.2252,0.1478
附件3_04,Positive,0.32944,0.32944,0.121809,0.365479,0.512712,0.6242,0.1554,0.2204
附件3_05,Negative,-1.177639,-1.177639,0.852045,0.097144,0.050811,0.7387,0.1298,0.1314
附件3_06,Positive,0.785003,0.785003,0.051122,0.179937,0.768941,0.6991,0.2183,0.0825
附件3_07,Neutral,0.0,0.014054,0.280345,0.428542,0.291113,0.8288,0.0756,0.0955
附件3_08,Positive,0.236948,0.236948,0.149984,0.426539,0.423476,0.7381,0.1646,0.0972
附件3_09,Positive,1.165265,1.165265,0.033712,0.086633,0.879654,0.8112,0.1066,0.0822
附件3_10,Neutral,0.0,0.050766,0.118127,0.653424,0.228449,0.9172,0.0399,0.0429
附件3_11,Positive,0.219002,0.219002,0.171462,0.429919,0.398619,0.6868,0.1424,0.1708
附件3_12,Positive,0.56554,0.56554,0.138478,0.253298,0.608223,0.8593,0.0985,0.0423
附件3_13,Negative,-0.059626,-0.059626,0.368923,0.319569,0.311507,0.7024,0.1052,0.1924
附件3_14,Negative,-0.465539,-0.465539,0.64156,0.223284,0.135156,0.8002,0.0992,0.1006
附件3_15,Positive,0.620403,0.620403,0.061127,0.248005,0.690867,0.7305,0.163,0.1066
附件3_16,Positive,1.247426,1.247426,0.044147,0.089011,0.866841,0.8294,0.109,0.0616
附件3_17,Neutral,0.0,0.068123,0.191944,0.497616,0.31044,0.6081,0.2521,0.1397
附件3_18,Positive,0.354188,0.354188,0.095098,0.400013,0.504889,0.6002,0.2785,0.1214
附件3_19,Negative,-0.563352,-0.563352,0.707295,0.196189,0.096515,0.6451,0.1983,0.1566
附件3_20,Neutral,0.0,0.077172,0.160748,0.550463,0.288789,0.7758,0.096,0.1282
附件3_21,Positive,0.34841,0.34841,0.074968,0.393033,0.531999,0.7592,0.1534,0.0874
附件3_22,Positive,0.135202,0.135202,0.251875,0.368333,0.379791,0.6926,0.1281,0.1793
附件3_23,Positive,0.289727,0.289727,0.07532,0.468998,0.455682,0.7975,0.133,0.0695
附件3_24,Positive,0.140595,0.140595,0.340671,0.286157,0.373172,0.7496,0.1057,0.1447
附件3_25,Positive,0.408078,0.408078,0.079054,0.414969,0.505977,0.8277,0.0944,0.078
附件3_26,Positive,0.70009,0.70009,0.063695,0.197394,0.738912,0.7415,0.131,0.1276
附件3_27,Positive,0.667349,0.667349,0.061335,0.199651,0.739014,0.772,0.0994,0.1285
附件3_28,Positive,0.373419,0.373419,0.066794,0.401324,0.531881,0.8805,0.0781,0.0414
附件3_29,Positive,0.516952,0.516952,0.08883,0.276976,0.634194,0.6705,0.1267,0.2028
附件3_30,Positive,0.362337,0.362337,0.102747,0.411849,0.485405,0.4934,0.2936,0.2129
