sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity,prob_negative,prob_neutral,prob_positive
-AUZQgSxyPQ$_$2,Positive,Positive,0.6666666865348816,1.2545149326324463,0.03278856724500656,0.0805528312921524,0.8866586685180664
-HeZS2-Prhc$_$2,Positive,Negative,0.6666666865348816,-0.5724305510520935,0.690566897392273,0.17510932683944702,0.1343238651752472
-MeTTeMJBNc$_$0,Positive,Positive,0.3333333432674408,0.34667277336120605,0.11145234107971191,0.3757268786430359,0.512820839881897
-RfYyzHpjk4$_$2,Positive,Neutral,0.3333333432674408,0.0,0.3122662305831909,0.40391331911087036,0.2838204503059387
-s9qJ7ATP7w$_$2,Positive,Positive,1.3333333730697632,0.757724940776825,0.09564414620399475,0.1736566126346588,0.7306992411613464
-s9qJ7ATP7w$_$5,Negative,Negative,-2.0,-1.0160534381866455,0.831890881061554,0.09994453191757202,0.0681646540760994
-s9qJ7ATP7w$_$6,Neutral,Negative,0.0,-1.0627679824829102,0.8285931348800659,0.11754003912210464,0.05386674404144287
-yRb-Jum7EQ$_$1,Neutral,Negative,0.0,-0.4678264558315277,0.6282662153244019,0.22982986271381378,0.1419038474559784
0K7dCp80n9c$_$6,Neutral,Negative,0.0,-0.4690650403499603,0.6151549816131592,0.2737176716327667,0.11112737655639648
0YiAKqU36KE$_$1,Positive,Negative,1.3333333730697632,-0.8479175567626953,0.7769126296043396,0.12362471967935562,0.09946264326572418
0YiAKqU36KE$_$0,Negative,Negative,-1.0,-1.1219422817230225,0.853349506855011,0.09229020774364471,0.054360341280698776
0bxhZ-LIfZY$_$4,Negative,Negative,-0.3333333432674408,-0.26227518916130066,0.5563949346542358,0.18516674637794495,0.2584382891654968
100178$_$15,Neutral,Neutral,0.0,0.0,0.35566776990890503,0.5066021680831909,0.13773006200790405
10219$_$10,Positive,Negative,2.0,-0.3140718340873718,0.5164782404899597,0.2853490710258484,0.1981726884841919
10219$_$1,Neutral,Neutral,0.0,0.0,0.15024343132972717,0.5387188196182251,0.31103774905204773
10219$_$5,Positive,Positive,1.6666666269302368,1.4862604141235352,0.02934446558356285,0.0601198747754097,0.9105356335639954
102213$_$2,Positive,Positive,1.3333333730697632,1.4243236780166626,0.07658527791500092,0.09115525335073471,0.832259476184845
102213$_$5,Negative,Negative,-1.0,-0.8781231641769409,0.7488488554954529,0.17062601447105408,0.08052511513233185
102213$_$7,Negative,Negative,-1.0,-0.6441525220870972,0.7010482549667358,0.20326223969459534,0.09568946808576584
102389$_$5,Negative,Negative,-1.6666666269302368,-0.8100355267524719,0.7586453557014465,0.15033337473869324,0.0910213366150856
104741$_$0,Neutral,Neutral,0.0,0.0,0.09640587866306305,0.510358452796936,0.3932357430458069
104741$_$5,Neutral,Positive,0.0,0.14599648118019104,0.23110385239124298,0.39835238456726074,0.37054377794265747
107585$_$12,Negative,Negative,-2.0,-1.828762412071228,0.9414135217666626,0.033663276582956314,0.024923209100961685
107585$_$18,Negative,Negative,-2.0,-1.7795612812042236,0.9376362562179565,0.037473663687705994,0.02489001303911209
107585$_$1,Negative,Positive,-0.6666666865348816,0.6682173609733582,0.3134154975414276,0.10086940228939056,0.585715115070343
108146$_$3,Negative,Negative,-1.6666666269302368,-1.024999976158142,0.7938467264175415,0.11640163511037827,0.08975166082382202
110565$_$1,Negative,Positive,-1.0,1.4905177354812622,0.04849105328321457,0.0766349583864212,0.8748739957809448
