sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity,prob_negative,prob_neutral,prob_positive
-UacrmKiTn4$_$7,Positive,Positive,0.3333333432674408,0.4279401898384094,0.08480175584554672,0.32400593161582947,0.5911922454833984
-qDkUB0GgYY$_$5,Positive,Positive,2.0,0.4692307412624359,0.10194043815135956,0.30100876092910767,0.5970508456230164
0utROiKxejc$_$1,Neutral,Positive,0.0,0.24664708971977234,0.19097228348255157,0.37709665298461914,0.4319310784339905
0utROiKxejc$_$4,Neutral,Negative,0.0,-1.2948938608169556,0.8843727111816406,0.07316230237483978,0.04246499761939049
0y022OlZ3W0$_$3,Positive,Positive,1.3333333730697632,0.895534873008728,0.06750233471393585,0.14332005381584167,0.789177656173706
0y022OlZ3W0$_$5,Negative,Negative,-1.3333333730697632,-1.0664875507354736,0.8466836810112,0.09911825507879257,0.05419809743762016
0y022OlZ3W0$_$8,Negative,Neutral,-0.3333333432674408,0.0,0.15043587982654572,0.5089238882064819,0.34064027667045593
101787$_$11,Neutral,Negative,0.0,-0.6933619379997253,0.638877809047699,0.2758147716522217,0.08530740439891815
101787$_$13,Negative,Positive,-1.6666666269302368,0.3528205454349518,0.32581573724746704,0.21392159163951874,0.4602626860141754
101787$_$1,Negative,Negative,-0.6666666865348816,-0.346639484167099,0.41922125220298767,0.4642643928527832,0.11651434004306793
101787$_$5,Negative,Negative,-1.6666666269302368,-1.5150656700134277,0.9088781476020813,0.058341849595308304,0.032779987901449203
101787$_$7,Positive,Positive,1.0,0.93975430727005,0.08307985961437225,0.17781312763690948,0.7391070127487183
101787$_$9,Negative,Neutral,-0.3333333432674408,0.0,0.3562672734260559,0.5163413286209106,0.12739142775535583
102408$_$2,Negative,Neutral,-0.3333333432674408,0.0,0.27578049898147583,0.4836013913154602,0.24061815440654755
102408$_$5,Negative,Positive,-2.0,1.1576812267303467,0.10824809223413467,0.09277821332216263,0.7989736795425415
102408$_$9,Negative,Negative,-1.6666666269302368,-0.467796266078949,0.6412286162376404,0.2099754810333252,0.14879588782787323
102858$_$20,Positive,Negative,2.0,-0.30962321162223816,0.5417101383209229,0.19671857357025146,0.26157131791114807
102858$_$21,Positive,Negative,1.0,-0.7343510985374451,0.6993676424026489,0.21575231850147247,0.08487997949123383
102858$_$1,Positive,Neutral,0.3333333432674408,0.0,0.1733126938343048,0.46947136521339417,0.3572160005569458
102858$_$0,Positive,Positive,0.3333333432674408,0.4826106131076813,0.08299128711223602,0.3366263508796692,0.5803823471069336
102858$_$4,Positive,Positive,3.0,0.805367648601532,0.06915706396102905,0.19560478627681732,0.7352381348609924
102858$_$6,Positive,Negative,2.6666667461395264,-0.14013361930847168,0.35134637355804443,0.4254024624824524,0.22325114905834198
102858$_$10,Positive,Positive,2.0,1.5019092559814453,0.047707170248031616,0.10989544540643692,0.8423973321914673
102858$_$17,Positive,Negative,1.0,-0.29406964778900146,0.4433318078517914,0.3749864101409912,0.18168187141418457
102858$_$19,Neutral,Neutral,0.0,0.0,0.12449930608272552,0.5023037791252136,0.37319692969322205
112433$_$10,Neutral,Neutral,0.0,0.0,0.14087989926338196,0.7005362510681152,0.15858379006385803
112433$_$3,Negative,Negative,-0.3333333432674408,-0.33024877309799194,0.5617452263832092,0.23542039096355438,0.20283441245555878
112433$_$7,Negative,Negative,-0.6666666865348816,-0.6511756777763367,0.704038143157959,0.13134798407554626,0.16461387276649475
112433$_$6,Negative,Negative,-1.3333333730697632,-1.6122767925262451,0.9134576916694641,0.0449802540242672,0.041562069207429886
