sample_id,predicted_polarity,predicted_intensity,raw_head_polarity,raw_probability_negative,biased_probability_negative,raw_probability_neutral,biased_probability_neutral,raw_probability_positive,biased_probability_positive
附件3_01,Negative,-0.53698593,Negative,0.59087235,0.634571157897659,0.2715497,0.26388003204576066,0.13757789,0.10154881005658017
附件3_02,Negative,0.117790654,Neutral,0.34006482,0.3895900321954129,0.3642756,0.37761284398108386,0.29565957,0.23279712382350326
附件3_03,Neutral,0.06611942,Neutral,0.32655206,0.3746600770439356,0.37780136,0.39221034352917933,0.29564655,0.23312957942688514
附件3_04,Positive,0.62940305,Positive,0.110498086,0.14150909144110113,0.27125853,0.31432834226462264,0.6182434,0.5441625662942762
附件3_05,Negative,-1.175675,Negative,0.78637743,0.8138103897029358,0.15211712,0.14244290562985049,0.06150544,0.04374670466721357
附件3_06,Positive,0.8967372,Positive,0.062578686,0.0826696647547628,0.23036012,0.27535792697161643,0.70706123,0.6419724082736208
附件3_07,Positive,0.53630996,Positive,0.1357981,0.17083887373392512,0.2994053,0.3408184336039183,0.5647966,0.48834269266215663
附件3_08,Neutral,0.2294524,Neutral,0.28829065,0.33477513954067845,0.38477126,0.40429261865500155,0.3269381,0.26093224180432
附件3_09,Positive,1.1191611,Positive,0.025703108,0.035557892891241304,0.12652646,0.1583806892788609,0.84777033,0.8060614178298978
附件3_10,Neutral,0.2514293,Neutral,0.20876163,0.24420043466926594,0.4702725,0.4977552981948315,0.32096592,0.2580442671359026
附件3_11,Positive,0.45328927,Positive,0.17986308,0.22140862750644447,0.31636053,0.35237520255592847,0.50377643,0.4262161699376272
附件3_12,Positive,0.36195624,Positive,0.17192887,0.21155979453476925,0.3292117,0.3665474458545335,0.4988594,0.4218927596106972
附件3_13,Positive,0.36896226,Positive,0.21317142,0.25821711836210953,0.32912654,0.3607359960998043,0.457702,0.38104688553808613
附件3_14,Negative,-0.35503072,Negative,0.54973495,0.5963098584622331,0.28820038,0.2828679618843704,0.1620647,0.12082217965339644
附件3_15,Positive,0.931899,Positive,0.04348674,0.058897768679509674,0.17216738,0.21099073461284665,0.7843459,0.7301114967076436
附件3_16,Positive,1.331466,Positive,0.035826266,0.04933783850768581,0.127095,0.158371695502317,0.83707875,0.7922904659899972
附件3_17,Negative,-0.044805635,Negative,0.4158739,0.46699614591624167,0.3364408,0.3418462812227232,0.24768534,0.19115757286103519
附件3_18,Positive,0.66206086,Positive,0.10107603,0.13044711962203437,0.25716642,0.30031092019615113,0.6417576,0.5692419601818145
附件3_19,Negative,-0.042328972,Negative,0.4428034,0.49323628037300316,0.33092648,0.3335386212451844,0.22627011,0.1732250983818125
附件3_20,Neutral,0.3154129,Positive,0.19764483,0.23842667350541355,0.36708856,0.400692083321833,0.4352666,0.36088124317275344
附件3_21,Positive,0.43761998,Positive,0.14021873,0.17464561010415575,0.32975975,0.3716377348498577,0.53002155,0.4537166550459867
附件3_22,Neutral,0.2132537,Positive,0.2686128,0.3171968422539213,0.34725976,0.3710455145902085,0.38412747,0.3117576431558702
附件3_23,Positive,0.44394845,Positive,0.15611653,0.1921196673603938,0.35160884,0.39151943410960743,0.49227458,0.4163608985299989
附件3_24,Negative,0.15870658,Negative,0.34676084,0.39832466976732717,0.34393814,0.3574851991128677,0.30930105,0.24419013111980506
附件3_25,Neutral,0.25683486,Neutral,0.2626173,0.3070001490686093,0.39539748,0.4182343776010391,0.3419852,0.27476547333035156
附件3_26,Positive,0.87918556,Positive,0.07777273,0.10246367417586273,0.2179641,0.25983526917288874,0.7042632,0.6377010566512487
附件3_27,Positive,1.148663,Positive,0.056492392,0.07590339696703652,0.18070416,0.21968985667934202,0.7628035,0.7044067463536214
附件3_28,Positive,0.5186796,Positive,0.1235446,0.15579674281632344,0.30826598,0.3517473308924392,0.56818944,0.49245592629123724
附件3_29,Positive,0.60784143,Positive,0.12944637,0.1641940726664747,0.2785847,0.31973886930383655,0.59196895,0.5160670580296888
附件3_30,Neutral,0.18347529,Neutral,0.27746287,0.3238800115270682,0.37982062,0.4011699062100268,0.34271652,0.2749500822629051
