figure,group,method,condition,value
fig1,A,R0,OOF_S,0.48541691926439023
fig1,A,R1,OOF_S,0.5135948958717013
fig1,A,R2,OOF_S,0.5059627222347156
fig1,A,R3,OOF_S,0.5032443213140789
fig1,A,R4,OOF_S,0.5066744810306868
fig1,A,R5,OOF_S,0.5049822669999287
fig1,A,R6,OOF_S,0.5058609757135955
fig1,A,R7,OOF_S,0.5059941076184303
fig1,B,R0,OOF_S,0.46138959807007707
fig1,B,R1,OOF_S,0.4856105414917347
fig1,B,R2,OOF_S,0.4907773848326922
fig1,B,R3,OOF_S,0.5043355911101042
fig1,B,R4,OOF_S,0.5024286801715171
fig1,B,R5,OOF_S,0.5033434238344884
fig1,B,R6,OOF_S,0.508315360172624
fig1,B,R7,OOF_S,0.5098405370066423
fig2,test,R0,mean_64_S,0.5009089341092882
fig2,test,R0,clean_ACC,0.6519944979367263
fig3,test,R0,text_0,0.6007006112386829
fig3,test,R0,text_0.1,0.5788687987586655
fig3,test,R0,text_0.3,0.5631167924575694
fig3,test,R0,text_0.5,0.5325574190599586
fig3,test,R0,audio_0,0.6007006112386829
fig3,test,R0,audio_0.1,0.60367901396183
fig3,test,R0,audio_0.3,0.5932466582312622
fig3,test,R0,audio_0.5,0.5863237639197934
fig3,test,R0,vision_0,0.6007006112386829
fig3,test,R0,vision_0.1,0.5994125259173231
fig3,test,R0,vision_0.3,0.6000924548834247
fig3,test,R0,vision_0.5,0.5977461963302354
fig3,test,R0,text-audio_0,0.6007006112386829
fig3,test,R0,text-audio_0.1,0.5774558633697727
fig3,test,R0,text-audio_0.3,0.5587285723611886
fig3,test,R0,text-audio_0.5,0.538568149473845
fig3,test,R0,text-vision_0,0.6007006112386829
fig3,test,R0,text-vision_0.1,0.5793404516912674
fig3,test,R0,text-vision_0.3,0.567134740302823
fig3,test,R0,text-vision_0.5,0.5333088077586283
fig3,test,R0,audio-vision_0,0.6007006112386829
fig3,test,R0,audio-vision_0.1,0.600844344266346
fig3,test,R0,audio-vision_0.3,0.5927254734940344
fig3,test,R0,audio-vision_0.5,0.591268721982582
fig3,test,R0,text-audio-vision_0,0.6007006112386829
fig3,test,R0,text-audio-vision_0.1,0.5796428128456953
fig3,test,R0,text-audio-vision_0.3,0.5599727009880745
fig3,test,R0,text-audio-vision_0.5,0.5356731130248416
fig2,test,R2,mean_64_S,0.5084481801079737
fig2,test,R2,clean_ACC,0.6492434662998624
fig3,test,R2,text_0,0.6010573127796118
fig3,test,R2,text_0.1,0.5871974021485337
fig3,test,R2,text_0.3,0.5662907020676822
fig3,test,R2,text_0.5,0.5400416623701368
fig3,test,R2,audio_0,0.6010573127796118
fig3,test,R2,audio_0.1,0.6017663705223238
fig3,test,R2,audio_0.3,0.6040024565287222
fig3,test,R2,audio_0.5,0.6035214307114982
fig3,test,R2,vision_0,0.6010573127796118
fig3,test,R2,vision_0.1,0.60583977943861
fig3,test,R2,vision_0.3,0.6059730025086286
fig3,test,R2,vision_0.5,0.6083883351663926
fig3,test,R2,text-audio_0,0.6010573127796118
fig3,test,R2,text-audio_0.1,0.5886169697065716
fig3,test,R2,text-audio_0.3,0.5595768293338197
fig3,test,R2,text-audio_0.5,0.5370341232160002
fig3,test,R2,text-vision_0,0.6010573127796118
fig3,test,R2,text-vision_0.1,0.5871165858041278
fig3,test,R2,text-vision_0.3,0.5681579463670352
fig3,test,R2,text-vision_0.5,0.5380262902792144
fig3,test,R2,audio-vision_0,0.6010573127796118
fig3,test,R2,audio-vision_0.1,0.6039523235565669
fig3,test,R2,audio-vision_0.3,0.6051189548295084
fig3,test,R2,audio-vision_0.5,0.6040559366790678
fig3,test,R2,text-audio-vision_0,0.6010573127796118
fig3,test,R2,text-audio-vision_0.1,0.5907888885998477
fig3,test,R2,text-audio-vision_0.3,0.5573567734762853
fig3,test,R2,text-audio-vision_0.5,0.5383959676428091
fig2,test,R6,mean_64_S,0.5054670172785698
fig2,test,R6,clean_ACC,0.640990371389271
fig3,test,R6,text_0,0.594151651440831
fig3,test,R6,text_0.1,0.5915641410252062
fig3,test,R6,text_0.3,0.563598510585844
fig3,test,R6,text_0.5,0.5509548244291341
fig3,test,R6,audio_0,0.594151651440831
fig3,test,R6,audio_0.1,0.5915216624304865
fig3,test,R6,audio_0.3,0.5903115670262488
fig3,test,R6,audio_0.5,0.5904229581984569
fig3,test,R6,vision_0,0.594151651440831
