round,group,split,precision,seed,accuracy
6,R0,valid,FP32,20267001,0.6195054945054945
6,R0,valid,int8,20267001,0.6222527472527473
6,R0,valid,校准后,20267001,0.6277472527472527
6,R0,valid,FP32,20267002,0.6057692307692307
6,R0,valid,int8,20267002,0.592032967032967
6,R0,valid,校准后,20267002,0.5934065934065934
6,R0,valid,FP32,20267003,0.614010989010989
6,R0,valid,int8,20267003,0.5989010989010989
6,R0,valid,校准后,20267003,0.6112637362637363
6,R0,stop,FP32,20267001,0.6547314578005116
6,R0,stop,FP32,20267002,0.6317135549872123
6,R0,stop,FP32,20267003,0.6624040920716112
6,R1,stop,FP32,20267001,0.6521739130434783
6,R1,stop,FP32,20267002,0.6368286445012787
6,R1,stop,FP32,20267003,0.649616368286445
6,R2,stop,FP32,20267001,0.6624040920716112
6,R2,stop,FP32,20267002,0.639386189258312
6,R2,stop,FP32,20267003,0.6419437340153452
6,R3,stop,FP32,20267001,0.6240409207161125
6,R3,stop,FP32,20267002,0.6419437340153452
6,R3,stop,FP32,20267003,0.6317135549872123
7,A0,valid,FP32,20267001,0.6195054945054945
7,A0,valid,int8,20267001,0.6222527472527473
7,A0,valid,校准后,20267001,0.6277472527472527
7,A0,valid,FP32,20267002,0.6057692307692307
7,A0,valid,int8,20267002,0.592032967032967
7,A0,valid,校准后,20267002,0.5934065934065934
7,A0,valid,FP32,20267003,0.614010989010989
7,A0,valid,int8,20267003,0.5989010989010989
7,A0,valid,校准后,20267003,0.6112637362637363
7,B2,valid,FP32,20267001,0.614010989010989
7,B2,valid,int8,20267001,0.6126373626373627
7,B2,valid,校准后,20267001,0.625
7,B2,valid,FP32,20267002,0.6043956043956044
7,B2,valid,int8,20267002,0.6098901098901099
7,B2,valid,校准后,20267002,0.614010989010989
7,B2,valid,FP32,20267003,0.6208791208791209
7,B2,valid,int8,20267003,0.625
7,B2,valid,校准后,20267003,0.6332417582417582
7,A0,stop,FP32,20267001,0.6547314578005116
7,A0,stop,FP32,20267002,0.6317135549872123
7,A0,stop,FP32,20267003,0.6624040920716112
7,A1,stop,FP32,20267001,0.6138107416879796
7,A1,stop,FP32,20267002,0.6214833759590793
7,A1,stop,FP32,20267003,0.6138107416879796
7,A2,stop,FP32,20267001,0.6138107416879796
7,A2,stop,FP32,20267002,0.6214833759590793
7,A2,stop,FP32,20267003,0.6112531969309463
7,B0,stop,FP32,20267001,0.6572890025575447
7,B0,stop,FP32,20267002,0.6470588235294118
7,B0,stop,FP32,20267003,0.6649616368286445
7,B1,stop,FP32,20267001,0.6521739130434783
7,B1,stop,FP32,20267002,0.6649616368286445
7,B1,stop,FP32,20267003,0.6649616368286445
7,B2,stop,FP32,20267001,0.659846547314578
7,B2,stop,FP32,20267002,0.670076726342711
7,B2,stop,FP32,20267003,0.659846547314578
