sample_id,polarity,intensity,prob_negative,prob_neutral,prob_positive,text_observed_fraction,audio_observed_fraction,vision_observed_fraction,gate_text,gate_audio,gate_vision
附件3_01,Neutral,0.0,0.382109,0.491799,0.126092,1.0,1.0,1.0,0.7878,0.1068,0.1054
附件3_02,Neutral,0.0,0.08741,0.804034,0.108556,0.8214,0.8214,0.8214,0.7318,0.1126,0.1556
附件3_03,Neutral,0.0,0.11181,0.623073,0.265118,0.8438,0.8438,0.7188,0.7992,0.0962,0.1047
附件3_04,Positive,0.373536,0.104485,0.329381,0.566133,0.9355,0.9355,0.9355,0.7543,0.0908,0.1548
附件3_05,Negative,-1.091853,0.880268,0.061036,0.058696,1.0,1.0,1.0,0.8668,0.0608,0.0724
附件3_06,Positive,1.231793,0.012953,0.061527,0.92552,0.88,0.88,0.88,0.6797,0.1212,0.1992
附件3_07,Positive,0.558621,0.111299,0.22481,0.66389,0.8571,0.8571,0.8571,0.8188,0.0634,0.1178
附件3_08,Negative,-0.568888,0.657804,0.179847,0.162348,0.8667,0.8667,0.8667,0.7133,0.1399,0.1468
附件3_09,Positive,1.322403,0.048261,0.068681,0.883058,0.8571,0.8571,0.8571,0.7574,0.0858,0.1568
附件3_10,Neutral,0.0,0.175241,0.652574,0.172185,1.0,1.0,1.0,0.7919,0.0627,0.1455
附件3_11,Positive,0.681698,0.05972,0.260448,0.679832,0.7143,0.7143,0.7143,0.7333,0.0874,0.1793
附件3_12,Negative,-0.007158,0.516231,0.16788,0.315889,0.8462,0.8462,0.8462,0.8046,0.0747,0.1208
附件3_13,Positive,0.536847,0.130367,0.299876,0.569757,0.8947,0.8947,0.8947,0.7835,0.0684,0.1481
附件3_14,Negative,-0.85404,0.852481,0.060908,0.086611,0.913,0.913,0.913,0.7904,0.095,0.1146
附件3_15,Positive,0.743348,0.041629,0.157067,0.801304,0.8889,0.8889,0.8889,0.7155,0.0995,0.185
附件3_16,Positive,1.36323,0.018464,0.065586,0.91595,0.8824,0.8824,0.8824,0.8562,0.0576,0.0862
附件3_17,Neutral,0.0,0.198552,0.504917,0.296532,0.6364,0.6364,0.6364,0.6156,0.1605,0.2238
附件3_18,Positive,0.313989,0.111878,0.326811,0.561311,0.8235,0.8235,0.8235,0.7689,0.0825,0.1486
附件3_19,Neutral,0.0,0.149175,0.540461,0.310364,0.7083,0.7083,0.7083,0.7086,0.0845,0.207
附件3_20,Positive,0.295564,0.112017,0.395766,0.492217,0.7083,0.7083,0.7083,0.7037,0.1207,0.1755
附件3_21,Positive,0.524651,0.049861,0.255919,0.69422,0.6667,0.6667,0.6667,0.716,0.1443,0.1396
附件3_22,Negative,-0.000835,0.486665,0.256396,0.256939,0.7647,0.7647,0.7647,0.7248,0.1043,0.1709
附件3_23,Positive,0.274079,0.054578,0.382026,0.563395,0.6923,0.6923,0.6923,0.5886,0.1771,0.2343
附件3_24,Negative,-0.183719,0.413219,0.200355,0.386426,0.75,0.75,0.75,0.7969,0.0846,0.1184
附件3_25,Positive,0.154209,0.103625,0.387542,0.508832,0.7778,0.7778,0.7778,0.6965,0.0586,0.2449
附件3_26,Positive,0.424369,0.082342,0.275116,0.642543,0.7273,0.7273,0.7273,0.7692,0.0765,0.1543
附件3_27,Positive,0.329279,0.065574,0.340345,0.59408,0.619,0.619,0.619,0.5934,0.172,0.2346
附件3_28,Positive,0.39935,0.046213,0.319794,0.633993,0.6667,0.6667,0.6667,0.7798,0.0719,0.1483
附件3_29,Positive,1.184258,0.021408,0.086079,0.892513,0.5556,0.5556,0.5556,0.7746,0.0798,0.1456
附件3_30,Positive,0.7071,0.044785,0.178945,0.77627,0.5,0.5,0.5,0.6194,0.1252,0.2554
