group,seed,epochs,dev_n,accuracy,macro_f1,raw_mae,raw_pearson,missing_macro_f1,seconds
ce_only,20267001,10,391,0.5933503836317136,0.5609042849235398,,,0.5531798512628151,22.70308229999864
ce_only,20267002,10,391,0.6265984654731458,0.6075376209000424,,,0.5871926060451126,22.41262740000093
ce_only,20267003,10,391,0.639386189258312,0.6098064986372324,,,0.5782531270793042,22.358702800000174
experts,20267001,10,391,0.6368286445012787,0.6070101629738341,0.6166572570800781,0.6570855975151062,0.5904392807130039,24.06445089999761
experts,20267002,10,391,0.6214833759590793,0.5968997375617434,0.6204031705856323,0.6799691915512085,0.5759598223317547,23.88830980000057
experts,20267003,10,391,0.629156010230179,0.6024465730348084,0.6336655020713806,0.6303715109825134,0.5849718470574995,29.63816719999886
frozen,20267001,10,391,0.6240409207161125,0.5985762066955108,0.6199923753738403,0.6283364295959473,0.5807837952178051,17.966487000001507
frozen,20267002,10,391,0.6086956521739131,0.5855346241975826,0.625929594039917,0.6522908806800842,0.5758252943826284,18.337054599996918
frozen,20267003,10,391,0.6214833759590793,0.5881216478142535,0.6353815197944641,0.6225078701972961,0.5860255071949224,17.673315800002456
full,20267001,10,391,0.6342710997442456,0.6043658512624029,0.612525224685669,0.6547756791114807,0.5871499343957863,56.2695664999992
full,20267002,10,391,0.5933503836317136,0.5754470646127845,0.6282331943511963,0.6605932712554932,0.566891247953717,49.84789540000202
full,20267003,10,391,0.6445012787723785,0.6164338072013266,0.6092032194137573,0.6584041118621826,0.590281859716188,41.971896600000036
input_A,20267001,10,391,0.4219948849104859,0.37321256799644614,0.8355583548545837,0.07904144376516342,0.3714201671563735,25.723421700000472
input_A,20267002,10,391,0.46035805626598464,0.4037568669147617,0.8394603729248047,0.08762570470571518,0.39765368234720544,14.097178899999562
input_A,20267003,10,391,0.40664961636828645,0.3747647851254099,0.8611743450164795,0.0517958402633667,0.37853917381236,15.394101499998214
input_AV,20267001,10,391,0.45268542199488493,0.4164018033226922,0.836492121219635,0.18146714568138123,0.41419096166578956,25.89214770000035
input_AV,20267002,10,391,0.4578005115089514,0.3958435254731551,0.8407602310180664,0.15873603522777557,0.3998894509667532,25.528964900000574
input_AV,20267003,10,391,0.42710997442455245,0.3768698542179861,0.8591517210006714,0.13033023476600647,0.38269684723476455,19.655989200000477
