kind,modalities,rate,position,mask_seed,accuracy,macro_f1,weighted_f1,mae,pearson
rate,T,0.1,random,701,0.5961538461538461,0.5582906556823072,0.5890380428864419,0.611662745475769,0.6425224178154588
rate,T,0.1,random,702,0.6195054945054945,0.5879091070576269,0.6131507225808195,0.6068720817565918,0.6432259393441933
rate,T,0.1,random,703,0.6085164835164835,0.5745784375369972,0.6031345597525193,0.6116661429405212,0.6382599903946798
rate,T,0.2,random,701,0.6057692307692307,0.5710035467451219,0.5994966801271363,0.6202865242958069,0.6238056440147751
rate,T,0.2,random,702,0.6071428571428571,0.5714564355265357,0.5989422912322384,0.6190637350082397,0.6249710559873758
rate,T,0.2,random,703,0.6043956043956044,0.5719748510469621,0.5991460399115508,0.6301699876785278,0.60864559668329
rate,T,0.3,random,701,0.5879120879120879,0.5500699804792619,0.5797370007533337,0.6310741901397705,0.5995428718222652
rate,T,0.3,random,702,0.592032967032967,0.5531037763442519,0.5856778983308533,0.6247755885124207,0.6059957224727384
rate,T,0.3,random,703,0.592032967032967,0.5612774991345232,0.5883708436880751,0.6372545957565308,0.6015562441292425
rate,T,0.5,random,701,0.554945054945055,0.531163201534092,0.5544307419824372,0.6571834087371826,0.5415151837523069
rate,T,0.5,random,702,0.5659340659340659,0.5362022527016631,0.5655819655256312,0.6436458826065063,0.5543337090732227
rate,T,0.5,random,703,0.5590659340659341,0.5275043076099167,0.5569349127353969,0.6611818671226501,0.54862589569641
rate,T,0.7,random,701,0.4766483516483517,0.45763839294341596,0.48048281047314667,0.7129291892051697,0.40987360488286323
rate,T,0.7,random,702,0.4945054945054945,0.47653752667570304,0.5010074338007612,0.6977784037590027,0.43128459419730036
rate,T,0.7,random,703,0.47802197802197804,0.45928394174074016,0.48079488197739917,0.7074177265167236,0.43108100096327295
rate,A,0.1,random,701,0.6538461538461539,0.6280688533915316,0.650181395798677,0.5946580767631531,0.6608000694048719
rate,A,0.1,random,702,0.6538461538461539,0.6281726159347581,0.6500320734323358,0.594712495803833,0.6607969772369467
rate,A,0.1,random,703,0.6552197802197802,0.629115249703485,0.6513296898801101,0.5946021676063538,0.6606570718952286
rate,A,0.2,random,701,0.6552197802197802,0.629971734149418,0.651577532857279,0.5948360562324524,0.6605149870709242
rate,A,0.2,random,702,0.6538461538461539,0.6275219974450165,0.649485582896565,0.5947982668876648,0.6615110319951478
rate,A,0.2,random,703,0.6565934065934066,0.6306068862365738,0.6530005639188355,0.5946750044822693,0.6605807855145853
rate,A,0.3,random,701,0.6524725274725275,0.6261122514366524,0.648376615763981,0.5938596725463867,0.6615336743424249
rate,A,0.3,random,702,0.6524725274725275,0.6254967925393248,0.6479032813750915,0.5938941836357117,0.6627496247187763
rate,A,0.3,random,703,0.6524725274725275,0.6258628565179581,0.6482716269799479,0.5939683318138123,0.6615723467048383
rate,A,0.5,random,701,0.6524725274725275,0.625595423354527,0.6484715009324853,0.5919599533081055,0.6637548995041401
rate,A,0.5,random,702,0.646978021978022,0.617426705055571,0.6413702277104338,0.5934498310089111,0.6634499138012704
rate,A,0.5,random,703,0.6524725274725275,0.6245081843264368,0.6474557978328535,0.5931610465049744,0.6629313947968265
rate,A,0.7,random,701,0.6524725274725275,0.6247248654667023,0.6478898732544099,0.5912516713142395,0.6650746985512234
rate,A,0.7,random,702,0.6538461538461539,0.6261858564841435,0.6490876907558272,0.5921431183815002,0.6647608077919057
rate,A,0.7,random,703,0.6538461538461539,0.6262297563621123,0.6491673767892499,0.5922605991363525,0.6645058099656986
rate,V,0.1,random,701,0.646978021978022,0.6213488552714311,0.6437376283079909,0.5951817631721497,0.6590488365156064
rate,V,0.1,random,702,0.646978021978022,0.620993157825243,0.643782983514737,0.5950896143913269,0.6587960849890094
rate,V,0.1,random,703,0.6510989010989011,0.6264646149039212,0.6481628042321683,0.5949310660362244,0.659684296366125
rate,V,0.2,random,701,0.6456043956043956,0.6194848621993003,0.6425025897004064,0.5952903032302856,0.6584999721698992
rate,V,0.2,random,702,0.6456043956043956,0.6193017613011077,0.6420927327643425,0.5942857265472412,0.65864088449826
rate,V,0.2,random,703,0.646978021978022,0.6215973693565217,0.6435189289861263,0.5948585867881775,0.6597065052717813
rate,V,0.3,random,701,0.6401098901098901,0.6111618351974436,0.6356888039924414,0.5957282185554504,0.6581260308887735
rate,V,0.3,random,702,0.6401098901098901,0.6113974874189928,0.635735050493115,0.5947274565696716,0.6576738372815125
rate,V,0.3,random,703,0.6401098901098901,0.6116873197523773,0.6353258623286806,0.595700740814209,0.6587086381134859
rate,V,0.5,random,701,0.6428571428571429,0.6134669093414539,0.637788421647132,0.5977898240089417,0.6559137609385953
rate,V,0.5,random,702,0.6414835164835165,0.6131504738354577,0.6369260371870891,0.596661388874054,0.6559135779204336
rate,V,0.5,random,703,0.6428571428571429,0.6130065119775024,0.6379724857474219,0.5981560945510864,0.656048186650258
rate,V,0.7,random,701,0.6332417582417582,0.6007210926408526,0.6269119292342658,0.6007584929466248,0.6534881786949583
rate,V,0.7,random,702,0.6346153846153846,0.602239695526198,0.62820107289243,0.600662112236023,0.6531403963838701
rate,V,0.7,random,703,0.6346153846153846,0.6013416067190992,0.6279625839305668,0.6008086204528809,0.6540289377827935
rate,TAV,0.1,random,701,0.6098901098901099,0.5773140109418788,0.60600591688907,0.6088302731513977,0.643237365163635
rate,TAV,0.1,random,702,0.6167582417582418,0.5892016084419408,0.6125584248572209,0.6047256588935852,0.6433982056989199
rate,TAV,0.1,random,703,0.6057692307692307,0.5744972354667466,0.6019385896847379,0.6088688373565674,0.6392027757371612
rate,TAV,0.2,random,701,0.6085164835164835,0.5793132668095514,0.6053449006914652,0.6160382032394409,0.6244696303024921
rate,TAV,0.2,random,702,0.6071428571428571,0.5796811387309514,0.6044832189995798,0.6159785389900208,0.6240258168575064
rate,TAV,0.2,random,703,0.5989010989010989,0.570302856671587,0.5965085272847871,0.6270797848701477,0.6092641581139895
rate,TAV,0.3,random,701,0.5769230769230769,0.5502706403141381,0.5752483364842746,0.6275767087936401,0.5994486981870433
rate,TAV,0.3,random,702,0.5906593406593407,0.5626561478852977,0.5915964286323631,0.6242367029190063,0.6030232226716229
rate,TAV,0.3,random,703,0.5714285714285714,0.5474714412173413,0.573024440632467,0.6329769492149353,0.6008519156183375
rate,TAV,0.5,random,701,0.5521978021978022,0.5438603256421647,0.5567822747719949,0.6553625464439392,0.5440999386008867
rate,TAV,0.5,random,702,0.5563186813186813,0.5432656942601831,0.5642703284749203,0.6472626328468323,0.554448785990048
rate,TAV,0.5,random,703,0.5412087912087912,0.5279131525521038,0.5506630107802081,0.6583202481269836,0.5499540437875785
rate,TAV,0.7,random,701,0.4340659340659341,0.4340770470630449,0.4319024228922298,0.7154938578605652,0.40588949632322224
rate,TAV,0.7,random,702,0.4519230769230769,0.45070925981948723,0.4519002575990487,0.7011731266975403,0.43528531881083105
rate,TAV,0.7,random,703,0.44642857142857145,0.44551183690695356,0.4451751763715692,0.7067522406578064,0.43455222502484914
position,T,0.3,front,701,0.5865384615384616,0.5504319127568374,0.5793758328119919,0.640817403793335,0.5898048270376927
position,T,0.3,front,702,0.5865384615384616,0.5504319127568374,0.5793758328119919,0.640817403793335,0.5898048270376927
position,T,0.3,front,703,0.5865384615384616,0.5504319127568374,0.5793758328119919,0.640817403793335,0.5898048270376927
position,T,0.3,middle,701,0.5975274725274725,0.5665707881342502,0.5952935539796906,0.6302055716514587,0.6038543092251376
